Frequency,Relative_distance,attention_sum,attn_average,attn_average_n
492,0,174.0992748,0.353860315,0.160386032
467,0.01,41.17544427,0.088170116,0.088170116
449,0.02,25.57557603,0.056961194,0.056961194
463,0.03,19.30204437,0.041689081,0.041689081
443,0.04,13.32965993,0.030089526,0.030089526
390,0.05,10.2096899,0.026178692,0.026178692
415,0.06,11.07969816,0.026698068,0.026698068
372,0.07,11.39893011,0.030642285,0.030642285
367,0.08,10.14824418,0.027651891,0.027651891
350,0.09,9.517816554,0.027193762,0.027193762
300,0.1,8.604143961,0.02868048,0.02868048
302,0.11,8.442445094,0.027955116,0.027955116
279,0.12,8.378941097,0.030032047,0.030032047
311,0.13,7.84897755,0.02523787,0.02523787
273,0.14,4.99700552,0.01830405,0.01830405
323,0.15,5.446199978,0.0168613,0.0168613
293,0.16,5.128221121,0.017502461,0.017502461
275,0.17,4.363826881,0.015868461,0.015868461
275,0.18,10.82772652,0.039373551,0.039373551
253,0.19,6.605125148,0.026107214,0.026107214
264,0.2,7.256424737,0.027486457,0.027486457
238,0.21,5.00110325,0.021013039,0.021013039
245,0.22,6.280574639,0.025634999,0.025634999
231,0.23,3.850777207,0.016670031,0.016670031
246,0.24,3.983294323,0.016192253,0.016192253
247,0.25,6.762174551,0.027377225,0.027377225
226,0.26,2.793208976,0.012359332,0.012359332
253,0.27,11.40400799,0.04507513,0.04507513
228,0.28,3.900718723,0.017108415,0.017108415
245,0.29,4.858090553,0.019828941,0.019828941
231,0.3,4.80977884,0.020821553,0.020821553
236,0.31,3.590035844,0.015212016,0.015212016
214,0.32,5.614050172,0.026233879,0.026233879
215,0.33,3.190713535,0.014840528,0.014840528
198,0.34,3.423640067,0.017291111,0.017291111
227,0.35,2.978439601,0.013120879,0.013120879
207,0.36,3.501539084,0.016915648,0.016915648
209,0.37,4.002021971,0.01914843,0.01914843
208,0.38,4.880814239,0.023465453,0.023465453
221,0.39,6.070717065,0.027469308,0.027469308
191,0.4,6.018449662,0.031510208,0.031510208
199,0.41,3.592141309,0.018050961,0.018050961
206,0.42,3.402925289,0.016519055,0.016519055
197,0.43,2.625385095,0.013326828,0.013326828
195,0.44,2.590332376,0.013283756,0.013283756
203,0.45,3.031918273,0.014935558,0.014935558
197,0.46,9.413091625,0.047782191,0.047782191
193,0.47,3.786285181,0.019618058,0.019618058
206,0.48,7.071537838,0.034327854,0.034327854
212,0.49,5.327861841,0.025131424,0.025131424
161,0.5,4.366354282,0.027120213,0.027120213
188,0.51,3.466981235,0.01844139,0.01844139
185,0.52,4.688400486,0.025342705,0.025342705
189,0.53,4.290458239,0.022700837,0.022700837
165,0.54,2.232525633,0.013530458,0.013530458
184,0.55,5.76137836,0.031311839,0.031311839
174,0.56,2.441870405,0.014033738,0.014033738
190,0.57,5.577267552,0.02935404,0.02935404
168,0.58,3.522128219,0.020965049,0.020965049
189,0.59,2.265105891,0.011984687,0.011984687
185,0.6,2.824940382,0.015269948,0.015269948
190,0.61,2.31222934,0.012169628,0.012169628
185,0.62,5.011095488,0.027087003,0.027087003
195,0.63,6.011187382,0.030826602,0.030826602
178,0.64,6.43244826,0.03613735,0.03613735
195,0.65,2.667871384,0.013681392,0.013681392
160,0.66,1.759557316,0.010997233,0.010997233
190,0.67,4.485939781,0.023610209,0.023610209
203,0.68,6.055651938,0.029830798,0.029830798
184,0.69,5.842500247,0.031752719,0.031752719
183,0.7,2.473453941,0.013516142,0.013516142
188,0.71,4.06884215,0.021642777,0.021642777
186,0.72,4.131720098,0.022213549,0.022213549
169,0.73,4.456461426,0.026369594,0.026369594
187,0.74,3.323538959,0.017772936,0.017772936
177,0.75,11.90903136,0.067282663,0.067282663
176,0.76,6.884504262,0.039116501,0.039116501
147,0.77,3.776169627,0.025688229,0.025688229
177,0.78,5.60659887,0.0316757,0.0316757
182,0.79,4.281560527,0.023525058,0.023525058
186,0.8,7.126737178,0.038315791,0.038315791
168,0.81,7.878734189,0.046897227,0.046897227
173,0.82,3.007242746,0.017382906,0.017382906
174,0.83,2.200267909,0.012645218,0.012645218
169,0.84,2.535249994,0.015001479,0.015001479
186,0.85,2.350384458,0.012636476,0.012636476
156,0.86,2.692854671,0.017261889,0.017261889
169,0.87,6.457304545,0.038208903,0.038208903
167,0.88,2.099858966,0.012574006,0.012574006
157,0.89,3.740233845,0.023823146,0.023823146
166,0.9,4.734498311,0.028521074,0.028521074
158,0.91,3.158509038,0.019990564,0.019990564
159,0.92,2.803611663,0.017632778,0.017632778
143,0.93,2.138010194,0.01495112,0.01495112
171,0.94,4.643258789,0.02715356,0.02715356
156,0.95,2.953180884,0.018930647,0.018930647
114,0.96,2.79379207,0.024506948,0.024506948
91,0.97,2.197591643,0.024149359,0.024149359
71,0.98,2.203996332,0.031042202,0.031042202
11,0.99,0.079331256,0.007211932,0.007211932
