Frequency,Relative_distance,attention_sum,attn_average,attn_average_n
491,0,174.0979956,0.354578402,0.16045784
461,0.01,41.16249648,0.08928958,0.08928958
438,0.02,25.54864759,0.058330246,0.058330246
441,0.03,19.26155585,0.043676997,0.043676997
402,0.04,13.249989,0.032960172,0.032960172
340,0.05,10.1120509,0.029741326,0.029741326
354,0.06,10.9637682,0.030971097,0.030971097
315,0.07,11.29391435,0.035853696,0.035853696
307,0.08,10.03025815,0.032671851,0.032671851
288,0.09,9.393852625,0.032617544,0.032617544
243,0.1,8.504080654,0.034996217,0.034996217
234,0.11,8.326270541,0.035582353,0.035582353
215,0.12,8.272758204,0.038477945,0.038477945
239,0.13,7.710247798,0.032260451,0.032260451
206,0.14,4.88216007,0.023699806,0.023699806
249,0.15,5.30516491,0.021305883,0.021305883
218,0.16,4.987901582,0.022880282,0.022880282
199,0.17,4.220562765,0.021208858,0.021208858
213,0.18,10.70681392,0.050266732,0.050266732
192,0.19,6.491425003,0.033809505,0.033809505
199,0.2,7.129123378,0.035824741,0.035824741
195,0.21,4.927171303,0.025267545,0.025267545
195,0.22,6.191606765,0.03175183,0.03175183
173,0.23,3.740438236,0.02162103,0.02162103
194,0.24,3.888922381,0.020045992,0.020045992
186,0.25,6.658008753,0.035795746,0.035795746
154,0.26,2.666518156,0.017315053,0.017315053
196,0.27,11.29565085,0.057630872,0.057630872
161,0.28,3.775886296,0.02345271,0.02345271
168,0.29,4.722894864,0.028112469,0.028112469
165,0.3,4.699950482,0.028484548,0.028484548
179,0.31,3.491697673,0.019506691,0.019506691
154,0.32,5.508078737,0.035766745,0.035766745
163,0.33,3.090297914,0.018958883,0.018958883
153,0.34,3.350522242,0.021898838,0.021898838
169,0.35,2.877867979,0.017028805,0.017028805
159,0.36,3.413157893,0.021466402,0.021466402
154,0.37,3.894270429,0.02528747,0.02528747
155,0.38,4.787767197,0.030888821,0.030888821
168,0.39,5.970078709,0.035536183,0.035536183
155,0.4,5.947229217,0.038369221,0.038369221
149,0.41,3.495151507,0.023457393,0.023457393
157,0.42,3.319785559,0.021145131,0.021145131
140,0.43,2.511934853,0.017942392,0.017942392
141,0.44,2.494354209,0.017690455,0.017690455
146,0.45,2.926845579,0.020046888,0.020046888
157,0.46,9.344152809,0.059516897,0.059516897
140,0.47,3.690969148,0.026364065,0.026364065
154,0.48,6.980935532,0.04533075,0.04533075
163,0.49,5.249334529,0.032204506,0.032204506
111,0.5,4.275758501,0.038520347,0.038520347
135,0.51,3.366569911,0.024937555,0.024937555
136,0.52,4.598421466,0.033811923,0.033811923
130,0.53,4.185946183,0.032199586,0.032199586
125,0.54,2.158336678,0.017266693,0.017266693
141,0.55,5.683381468,0.04030767,0.04030767
130,0.56,2.364596148,0.018189201,0.018189201
139,0.57,5.479915693,0.039423854,0.039423854
112,0.58,3.417456361,0.030513003,0.030513003
141,0.59,2.178632616,0.015451295,0.015451295
127,0.6,2.715074767,0.021378541,0.021378541
124,0.61,2.199149186,0.017735074,0.017735074
140,0.62,4.931163702,0.035222598,0.035222598
144,0.63,5.912857732,0.041061512,0.041061512
134,0.64,6.358882183,0.047454345,0.047454345
142,0.65,2.569383253,0.018094248,0.018094248
113,0.66,1.679632774,0.014864007,0.014864007
136,0.67,4.390927336,0.03228623,0.03228623
151,0.68,5.960842706,0.03947578,0.03947578
136,0.69,5.754850576,0.042315078,0.042315078
139,0.7,2.397805248,0.017250397,0.017250397
130,0.71,3.964826801,0.030498668,0.030498668
124,0.72,4.017232697,0.032397038,0.032397038
115,0.73,4.358233571,0.037897683,0.037897683
138,0.74,3.238736329,0.023469104,0.023469104
121,0.75,11.80835263,0.097589691,0.097589691
130,0.76,6.802938422,0.052330296,0.052330296
102,0.77,3.693613185,0.036211894,0.036211894
131,0.78,5.517301065,0.042116802,0.042116802
126,0.79,4.185391147,0.03321739,0.03321739
141,0.8,7.041589597,0.049940352,0.049940352
129,0.81,7.804682169,0.060501412,0.060501412
129,0.82,2.926786855,0.02268827,0.02268827
131,0.83,2.115214391,0.016146675,0.016146675
135,0.84,2.468505859,0.018285229,0.018285229
126,0.85,2.238472429,0.017765654,0.017765654
124,0.86,2.631832314,0.021224454,0.021224454
122,0.87,6.373399009,0.052240975,0.052240975
110,0.88,2.001557417,0.018195977,0.018195977
111,0.89,3.659148072,0.032965298,0.032965298
114,0.9,4.643435727,0.040731892,0.040731892
110,0.91,3.076478857,0.02796799,0.02796799
115,0.92,2.731886223,0.023755532,0.023755532
98,0.93,2.062999631,0.021051017,0.021051017
121,0.94,4.548802399,0.037593408,0.037593408
112,0.95,2.879076276,0.025706038,0.025706038
82,0.96,2.741585953,0.033433975,0.033433975
63,0.97,2.15327579,0.034178981,0.034178981
39,0.98,2.153728855,0.055223817,0.055223817
6,0.99,0.070727611,0.011787935,0.011787935
