,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AGO1234,acc,auc,f1,mcc,precision,recall,,,,AGO1234,0.85571142,0.88395238,0.57344536,0.50389222,0.70455908,0.487,0.007531712,0.006099206,0.038176953,0.033006036,0.034850489,0.059118525
1,fold_1,0.862725451,0.889680451,0.602898551,0.532329074,0.717241379,0.52,,,,AGO2,0.84144144,0.87142178,0.54639962,0.46046472,0.63902986,0.479,0.006315039,0.004576298,0.033071915,0.030824147,0.019748353,0.048656963
2,fold_2,0.853707415,0.888038847,0.605405405,0.518907002,0.658823529,0.56,,,,AGO2-M,0.86693387,0.91303384,0.65096771,0.57164376,0.68823215,0.621,0.005729851,0.004260157,0.019781208,0.020089181,0.032848061,0.052129646
3,fold_3,0.863727455,0.8864599,0.595238095,0.530758661,0.735294118,0.5,,,,Binding_1,0.82144289,0.68539035,0.34186709,0.31361476,0.65576453,0.233,0.003277641,0.001874755,0.040347623,0.02338961,0.02652528,0.037682887
4,fold_4,0.845691383,0.880714286,0.533333333,0.460690353,0.676923077,0.44,,,,Binding_2,0.80960961,0.67452879,0.27382776,0.2449755,0.58587546,0.18,0.0031176,0.003010518,0.022583649,0.008106454,0.050527467,0.022079402
5,fold_5,0.852705411,0.874868421,0.530351438,0.47677602,0.734513274,0.415,,,,eIF4AIII_1,0.80422535,0.81308942,0.34384088,0.27074272,0.53491456,0.261,0.004303672,0.002331492,0.064252655,0.032089367,0.035120904,0.072577545
6,mean,0.855711423,0.883952381,0.573445364,0.503892222,0.704559076,0.487,,,,eIF4AIII_2,0.84112337,0.865266,0.53538782,0.45435561,0.64831178,0.46,0.005094654,0.001195824,0.039217466,0.030687214,0.022936773,0.064226163
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,ELVAL1-1,0.84629259,0.8977381,0.59441272,0.50299229,0.63142394,0.566,0.001953265,0.001422527,0.031235208,0.026652082,0.016631205,0.067952189
8,mean_std,0.007531712,0.006099206,0.038176953,0.033006036,0.034850489,0.059118525,,,,ELVAL1-2,0.86606607,0.89810388,0.65251524,0.57100417,0.67963308,0.629,0.00334999,0.001256156,0.012847237,0.012538093,0.019130374,0.035249113
9, , , , , , , ,,,,ELVAL1-A,0.83066132,0.83568922,0.54780664,0.44678651,0.59032318,0.513,0.004367634,0.000923341,0.017299631,0.01455488,0.019034935,0.039623226
,Test,=,==,===,====,=====,======,,,,ELVAL1-M,0.8208,0.85207875,0.33139223,0.30159803,0.63195238,0.239,0.012988456,0.008372862,0.147036821,0.104236458,0.027575088,0.127935531
0,AGO2,acc,auc,f1,mcc,precision,recall,,,,EWSR1,0.842,0.87561875,0.48422241,0.42899962,0.69237243,0.377,0.009899495,0.00740767,0.07087464,0.055516232,0.013849248,0.080746517
1,fold_1,0.840840841,0.875312891,0.541786744,0.45596684,0.639455782,0.47,,,,FUS,0.86012024,0.88982957,0.62228342,0.54391019,0.68235964,0.582,0.006078457,0.002364972,0.041723006,0.029055364,0.044499782,0.088430764
2,fold_2,0.848848849,0.871677096,0.581717452,0.495086639,0.652173913,0.525,,,,hnRNPC-1,0.8776,0.9312575,0.69639118,0.62375036,0.6952293,0.708,0.004393177,0.001963223,0.028243092,0.021577749,0.047576462,0.085848704
3,fold_3,0.840840841,0.872928661,0.571428571,0.476629809,0.619883041,0.53,,,,hnRNPC-2,0.9174,0.960395,0.78881645,0.73812907,0.80829799,0.771,0.004219005,0.001734515,0.007032143,0.009913964,0.024789161,0.016355427
4,fold_4,0.831831832,0.863579474,0.497005988,0.412330637,0.619402985,0.415,,,,hnRNPL-1,0.82144289,0.84919424,0.36495426,0.32342988,0.63972,0.258,0.004447363,0.002240457,0.040591061,0.024025614,0.04457071,0.04236744
5,fold_5,0.844844845,0.873610763,0.540059347,0.462309662,0.664233577,0.455,,,,hnRNPL-2,0.8828,0.93120125,0.70185149,0.63050533,0.71672144,0.691,0.005585696,0.002292274,0.014397611,0.014669499,0.033095072,0.048656963
6,mean,0.841441441,0.871421777,0.54639962,0.460464718,0.63902986,0.479,,,,HnRNPL-L,0.81321321,0.84874844,0.29181578,0.26586574,0.61060354,0.204,0.006510355,0.005305299,0.111300855,0.068568787,0.057334462,0.107319616
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,IGF2BP1-3,0.808,0.80447625,0.3287246,0.26606752,0.54765803,0.235,0.006204837,0.003175146,0.016233336,0.023883024,0.037417515,0.01118034
8,mean_std,0.006315039,0.004576298,0.033071915,0.030824147,0.019748353,0.048656963,,,,MOV10,0.831,0.84919125,0.50069423,0.41378946,0.61342624,0.425,0.005244044,0.003202528,0.024673976,0.020779673,0.027879481,0.039843444
9, , , , , , , ,,,,mut-FUS,0.8544,0.87201625,0.60653537,0.52248349,0.6615826,0.565,0.001341641,0.006453528,0.029425898,0.02136926,0.025111249,0.066332496
,Test,=,==,===,====,=====,======,,,,NSUN2,0.8184,0.781395,0.39284465,0.32864138,0.59760056,0.302,0.004722288,0.007718958,0.080027849,0.045527143,0.037181657,0.085264295
0,AGO2-M,acc,auc,f1,mcc,precision,recall,,,,PUM2,0.8536,0.89044,0.55421846,0.49145179,0.71234003,0.462,0.002073644,0.001151558,0.047862226,0.028738244,0.040741164,0.086501445
1,fold_1,0.859719439,0.90783208,0.621621622,0.538882413,0.676470588,0.575,,,,QKI,0.89358717,0.92821178,0.7013559,0.64603081,0.80214745,0.625,0.001486212,0.00147462,0.015235165,0.010007026,0.025448944,0.039528471
2,fold_2,0.865731463,0.909968672,0.676328502,0.592286786,0.654205607,0.7,,,,SFRS1,0.816,0.82697,0.42989383,0.34166779,0.56558683,0.347,0.003162278,0.005202211,0.010040278,0.010152274,0.015215942,0.013509256
3,fold_3,0.872745491,0.918358396,0.646239554,0.575463553,0.729559748,0.58,,,,TAF1S,0.8446,0.8817925,0.58019916,0.49122569,0.62968492,0.547,0.011238327,0.010567485,0.062420135,0.060998349,0.02907364,0.110713594
4,fold_4,0.872745491,0.915820802,0.655826558,0.581530479,0.715976331,0.605,,,,TDP-43,0.84649299,0.84983835,0.49666808,0.45126534,0.7348876,0.383,0.005460692,0.001650901,0.050761364,0.022724661,0.073282203,0.068337398
5,fold_5,0.863727455,0.913189223,0.654822335,0.570055589,0.664948454,0.645,,,,TIA1,0.85725726,0.89582228,0.65601811,0.57066333,0.63625233,0.687,0.007643087,0.005466494,0.036282609,0.0393063,0.035787314,0.098653434
6,mean,0.866933868,0.913033835,0.650967714,0.571643764,0.688232146,0.621,,,,TIAL1,0.82945892,0.86851754,0.5663905,0.46251678,0.57959772,0.559,0.007806634,0.008455024,0.030333132,0.0270447,0.028308215,0.064845971
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,U2AF65,0.8772,0.92364375,0.71609856,0.64203349,0.66805118,0.774,0.006978539,0.000779974,0.005245421,0.007010973,0.029290048,0.032672619
8,mean_std,0.005729851,0.004260157,0.019781208,0.020089181,0.032848061,0.052129646,,,,Y2AF65,0.84228457,0.88160777,0.62240349,0.52568464,0.59873217,0.653,0.007650745,0.005963956,0.034441975,0.03706471,0.021183932,0.076370806
9, , , , , , , ,,,,AVG.,0.844876296,0.862272903,0.532072355,0.462909096,0.651060387,0.47816129,0.005489549,0.003867546,0.039451488,0.029487325,0.032147262,0.060990651
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,Binding_1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.824649299,0.685407268,0.368231047,0.333666237,0.662337662,0.255,,,,,,,,,,,,,,,,
2,fold_2,0.824649299,0.686109023,0.368231047,0.333666237,0.662337662,0.255,,,,,,,,,,,,,,,,
3,fold_3,0.821643287,0.683233083,0.325757576,0.308310686,0.671875,0.215,,,,,,,,,,,,,,,,
4,fold_4,0.818637275,0.684116541,0.369337979,0.315587423,0.609195402,0.265,,,,,,,,,,,,,,,,
5,fold_5,0.817635271,0.68808584,0.277777778,0.276843203,0.673076923,0.175,,,,,,,,,,,,,,,,
6,mean,0.821442886,0.685390351,0.341867085,0.313614757,0.65576453,0.233,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.003277641,0.001874755,0.040347623,0.02338961,0.02652528,0.037682887,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,Binding_2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
