,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AKAP1_HepG2,acc,auc,f1,mcc,precision,recall,,,,AKAP1_HepG2,0.798238163,0.767289125,0.690570127,0.541714692,0.708627851,0.674007367,0.005153572,0.005504805,0.007259575,0.010082256,0.015764727,0.019891338
1,fold_1,0.804467516,0.770491237,0.69541779,0.552793382,0.725089423,0.668079096,,,,BCLAF1_HepG2,0.772220998,0.721545862,0.62628062,0.471654223,0.70432364,0.564692966,0.003462319,0.009237263,0.014972237,0.0110739,0.011315379,0.0298947
2,fold_2,0.799433695,0.762824773,0.684796044,0.539645057,0.720228809,0.652686145,,,,DDX3X_HepG2,0.87043659,0.850916411,0.803212148,0.707104975,0.815119048,0.792175473,0.001418198,0.003818877,0.002710855,0.002163533,0.015051246,0.018031708
3,fold_3,0.795972943,0.773730182,0.698301931,0.544292596,0.690114943,0.706685499,,,,DDX3X_K562,0.833558974,0.799423751,0.734647877,0.615685502,0.774222225,0.699172682,0.00489006,0.009035533,0.011553044,0.013200844,0.001967491,0.021263048
4,fold_4,0.790781815,0.760449408,0.681208054,0.525776944,0.693847656,0.669020716,,,,DDX24_K562,0.69400765,0.610486315,0.438252617,0.254789152,0.565170251,0.359598584,0.005070273,0.013536577,0.03138636,0.02076051,0.011388666,0.043778328
5,fold_5,0.800534843,0.768950027,0.693126815,0.546065482,0.713858425,0.673565381,,,,FAM120A_K562,0.766586538,0.723739446,0.63206662,0.467000211,0.686564192,0.588327553,0.003332192,0.010228768,0.017332193,0.007753363,0.023981171,0.045885108
6,mean,0.798238163,0.767289125,0.690570127,0.541714692,0.708627851,0.674007367,,,,G3BP1_HepG2,0.691611269,0.610958318,0.442485397,0.250498265,0.549627174,0.3744069,0.00878521,0.014962211,0.036810259,0.023548408,0.0288444,0.057014658
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,GRWD1_HepG2,0.703188495,0.628115586,0.473007439,0.286199496,0.577677952,0.404896641,0.002965906,0.013859194,0.03415637,0.013198198,0.017874305,0.063423753
8,mean_std,0.005153572,0.005504805,0.007259575,0.010082256,0.015764727,0.019891338,,,,IGF2BP1_K562,0.741078691,0.696555831,0.590445766,0.405348274,0.626612676,0.562652714,0.003171706,0.01676696,0.030108708,0.018174331,0.019113529,0.063763462
9, , , , , , , ,,,,LARP4_HepG2,0.729613579,0.625370855,0.443453027,0.310583958,0.636155545,0.34218848,0.003142136,0.008667692,0.024392267,0.008154006,0.025430298,0.034710675
