,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AKAP1_HepG2,acc,auc,f1,mcc,precision,recall,,,AKAP1_HepG2,0.797748593,0.860134402,0.691249468,0.541328914,0.689326626,0.694061303,0.002193331,0.001494426,0.007898486,0.006210761,0.012473605,0.026807948
1,fold_1,0.798936836,0.860621511,0.698546648,0.548089117,0.684113866,0.713601533,,,BCLAF1_HepG2,0.75904804,0.806519725,0.537040663,0.417571261,0.736849523,0.422628062,0.004525664,0.003213818,0.013152958,0.01251815,0.009514754,0.01499219
2,fold_2,0.79518449,0.860103897,0.697179843,0.543469664,0.673815907,0.722222222,,,DDX3X_HepG2,0.873857302,0.93048414,0.806116312,0.713441312,0.828040229,0.785642738,0.002536079,0.001763991,0.005556127,0.006266239,0.010297318,0.016646425
3,fold_3,0.800813008,0.861262304,0.690626518,0.543911085,0.700492611,0.681034483,,,DDX3X_K562,0.849214227,0.886381059,0.757344425,0.652233472,0.814720317,0.707711443,0.002386524,0.001151831,0.003359617,0.005213766,0.011476305,0.010142728
4,fold_4,0.796435272,0.857586082,0.691322902,0.539550456,0.684507042,0.698275862,,,DDX24_K562,0.717663818,0.733841914,0.487558418,0.311403385,0.59585697,0.413309982,0.007399185,0.006641639,0.018052882,0.018659836,0.019687239,0.02528056
5,fold_5,0.797373358,0.861098215,0.678571429,0.531624248,0.703703704,0.655172414,,,FAM120A_K562,0.764342949,0.824483727,0.618731758,0.459094577,0.70093576,0.556329849,0.003708906,0.005027447,0.022020316,0.0124599,0.021799922,0.046898316
6,mean,0.797748593,0.860134402,0.691249468,0.541328914,0.689326626,0.694061303,,,G3BP1_HepG2,0.705641026,0.724106432,0.485564364,0.290412573,0.562493122,0.428205128,0.002488881,0.00779425,0.015893834,0.005942404,0.010105155,0.028517873
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,GRWD1_HepG2,0.711774359,0.719959279,0.451655296,0.284625366,0.589528313,0.366518987,0.005403581,0.005707913,0.013163694,0.013123067,0.016874623,0.018268842
8,mean_std,0.002193331,0.001494426,0.007898486,0.006210761,0.012473605,0.026807948,,,IGF2BP1_K562,0.74451567,0.80654781,0.539373874,0.390170047,0.683081713,0.447507953,0.006843725,0.003028454,0.032173448,0.022350356,0.010553362,0.047400841
9, , , , , , , ,,,LARP4_HepG2,0.71978022,0.727592993,0.412084023,0.286713683,0.635123255,0.305574516,0.00340679,0.00588743,0.020871848,0.012542626,0.011622959,0.02389891
,Test,=,==,===,====,=====,======,,,LIN28B_K562,0.675467775,0.624876315,0.206371224,0.11638189,0.52909579,0.137967914,0.004126119,0.018584337,0.099817162,0.028953841,0.084526927,0.073909083
0,BCLAF1_HepG2,acc,auc,f1,mcc,precision,recall,,,PABPC4_K562,0.733136095,0.729736188,0.460486296,0.32686416,0.650134005,0.356584362,0.004088707,0.007986794,0.013582535,0.012828215,0.007497339,0.014303742
1,fold_1,0.760241674,0.802388115,0.541561003,0.420987931,0.73696319,0.428062361,,,PPIG_HepG2,0.766739236,0.821265829,0.625070624,0.458631355,0.665435136,0.589732307,0.003188082,0.004734196,0.006671404,0.006737737,0.011231034,0.017114481
2,fold_2,0.761494253,0.804588459,0.543891785,0.424361105,0.740314538,0.429844098,,,PUM2_K562,0.855769231,0.924237645,0.787379196,0.678596375,0.789228086,0.78617801,0.006330623,0.002422943,0.013196097,0.016410554,0.009447661,0.029351142
3,fold_3,0.754126142,0.808012459,0.516866947,0.403333431,0.738518825,0.397550111,,,RBM15_K562,0.740203193,0.771077013,0.521910953,0.366719775,0.649250697,0.438897168,0.001268516,0.003567101,0.027837189,0.011122284,0.019428669,0.04597078
4,fold_4,0.764662541,0.810785094,0.550899888,0.432969727,0.747139588,0.436302895,,,RPS3_HepG2,0.743173943,0.804503607,0.589657607,0.40467022,0.619302913,0.563424947,0.002290574,0.002691577,0.00995857,0.006234848,0.009228412,0.02448464
5,fold_5,0.754715591,0.806824495,0.531983692,0.40620411,0.721311475,0.421380846,,,SND1_HepG2,0.733987998,0.764117858,0.50481278,0.337730023,0.58645506,0.454659498,0.003177587,0.005421318,0.058059477,0.027142731,0.028843069,0.098216633
6,mean,0.75904804,0.806519725,0.537040663,0.417571261,0.736849523,0.422628062,,,UCHL5_K562,0.736846154,0.74899317,0.492300896,0.358583366,0.684396058,0.385924207,0.004767438,0.005011415,0.023666504,0.01302259,0.025410372,0.032793005
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,UPF1_HepG2,0.805749806,0.864675099,0.700024956,0.55735844,0.722861118,0.678883072,0.002858186,0.001705311,0.004670285,0.005548974,0.010348697,0.014184043
8,mean_std,0.004525664,0.003213818,0.013152958,0.01251815,0.009514754,0.01499219,,,UPF1_K562,0.762546816,0.81987502,0.625927862,0.454520934,0.664470175,0.591677392,0.001944951,0.001776481,0.003635031,0.004307739,0.004868906,0.007339544
9, , , , , , , ,,,YBX3_K562,0.725987526,0.70222445,0.347942364,0.24301982,0.592459807,0.248850799,0.002379134,0.003779484,0.044142994,0.018059094,0.017952331,0.04445968
,Test,=,==,===,====,=====,======,,,ZNF622_K562,0.729612258,0.737532367,0.47766313,0.341246911,0.672932039,0.370987365,0.006006276,0.004616155,0.027373075,0.019487377,0.005959498,0.031860541
0,DDX3X_HepG2,acc,auc,f1,mcc,precision,recall,,,AVG.,0.756945738,0.787871184,0.551193931,0.408696266,0.666453487,0.487784409,0.003787221,0.00472765,0.022034251,0.01296105,0.016779462,0.031492816
1,fold_1,0.877926421,0.929570204,0.812339332,0.722535167,0.834507042,0.791318865,,,,,,,,,,,,,,,
2,fold_2,0.873745819,0.933554879,0.809743805,0.715307798,0.81487743,0.804674457,,,,,,,,,,,,,,,
3,fold_3,0.871237458,0.929161573,0.797723292,0.705439409,0.838858195,0.760434057,,,,,,,,,,,,,,,
4,fold_4,0.872352285,0.929861135,0.805602716,0.710849799,0.819516408,0.792153589,,,,,,,,,,,,,,,
5,fold_5,0.874024526,0.93027291,0.805172414,0.713074389,0.832442068,0.779632721,,,,,,,,,,,,,,,
6,mean,0.873857302,0.93048414,0.806116312,0.713441312,0.828040229,0.785642738,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.002536079,0.001763991,0.005556127,0.006266239,0.010297318,0.016646425,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,DDX3X_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.846980976,0.887963759,0.756578947,0.64784957,0.803072626,0.715174129,,,,,,,,,,,,,,,
2,fold_2,0.85153019,0.886098473,0.762094102,0.657849267,0.815602837,0.715174129,,,,,,,,,,,,,,,
3,fold_3,0.85153019,0.885341724,0.755948334,0.656448747,0.833583208,0.691542289,,,,,,,,,,,,,,,
4,fold_4,0.846567411,0.885354054,0.753160346,0.645948054,0.809728183,0.7039801,,,,,,,,,,,,,,,
5,fold_5,0.849462366,0.887147287,0.758940397,0.65307172,0.811614731,0.712686567,,,,,,,,,,,,,,,
6,mean,0.849214227,0.886381059,0.757344425,0.652233472,0.814720317,0.707711443,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.002386524,0.001151831,0.003359617,0.005213766,0.011476305,0.010142728,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,DDX24_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.71025641,0.723898921,0.468374281,0.289572778,0.581063554,0.392294221,,,,,,,,,,,,,,,
2,fold_2,0.71994302,0.741912748,0.501268392,0.32110543,0.595898673,0.432574431,,,,,,,,,,,,,,,
3,fold_3,0.723646724,0.73347013,0.473969631,0.31712495,0.622507123,0.382661996,,,,,,,,,,,,,,,
4,fold_4,0.709401709,0.732751633,0.483282675,0.295000866,0.573317308,0.417688266,,,,,,,,,,,,,,,
5,fold_5,0.725071225,0.73717614,0.510897111,0.334212899,0.606498195,0.441330998,,,,,,,,,,,,,,,
6,mean,0.717663818,0.733841914,0.487558418,0.311403385,0.59585697,0.413309982,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.007399185,0.006641639,0.018052882,0.018659836,0.019687239,0.02528056,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,FAM120A_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.770833333,0.830392794,0.64691358,0.480358365,0.690382082,0.608594657,,,,,,,,,,,,,,,
2,fold_2,0.762419872,0.826097952,0.630068621,0.459247055,0.680592992,0.586527294,,,,,,,,,,,,,,,
3,fold_3,0.76161859,0.816518024,0.623655914,0.455107829,0.684722222,0.572590012,,,,,,,,,,,,,,,
4,fold_4,0.763621795,0.824587014,0.598092643,0.451099673,0.723228995,0.509872242,,,,,,,,,,,,,,,
5,fold_5,0.763221154,0.824822854,0.594928033,0.449659965,0.725752508,0.504065041,,,,,,,,,,,,,,,
6,mean,0.764342949,0.824483727,0.618731758,0.459094577,0.70093576,0.556329849,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.003708906,0.005027447,0.022020316,0.0124599,0.021799922,0.046898316,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,G3BP1_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.703205128,0.720586527,0.495642702,0.291814395,0.553527981,0.448717949,,,,,,,,,,,,,,,
2,fold_2,0.705448718,0.721704307,0.492545555,0.293383854,0.559598494,0.439842209,,,,,,,,,,,,,,,
3,fold_3,0.708333333,0.737470756,0.489337823,0.296109999,0.567708333,0.429980276,,,,,,,,,,,,,,,
4,fold_4,0.708012821,0.723430145,0.457415128,0.28051487,0.577443609,0.378698225,,,,,,,,,,,,,,,
5,fold_5,0.703205128,0.717340425,0.492880613,0.290239749,0.554187192,0.443786982,,,,,,,,,,,,,,,
6,mean,0.705641026,0.724106432,0.485564364,0.290412573,0.562493122,0.428205128,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.002488881,0.00779425,0.015893834,0.005942404,0.010105155,0.028517873,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,GRWD1_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.710461538,0.714747964,0.455544841,0.283440109,0.583209877,0.373734177,,,,,,,,,,,,,,,
2,fold_2,0.706666667,0.71484511,0.428913738,0.265610922,0.581168831,0.339873418,,,,,,,,,,,,,,,
3,fold_3,0.719179487,0.726383473,0.453711093,0.29986178,0.613930886,0.359810127,,,,,,,,,,,,,,,
4,fold_4,0.715384615,0.725660139,0.457265793,0.293488241,0.598566308,0.369936709,,,,,,,,,,,,,,,
5,fold_5,0.707179487,0.718159707,0.462841016,0.280725779,0.570765661,0.389240506,,,,,,,,,,,,,,,
6,mean,0.711774359,0.719959279,0.451655296,0.284625366,0.589528313,0.366518987,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.005403581,0.005707913,0.013163694,0.013123067,0.016874623,0.018268842,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,IGF2BP1_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.750356125,0.807765417,0.563783447,0.408182858,0.682228916,0.48038176,,,,,,,,,,,,,,,
2,fold_2,0.752849003,0.809389348,0.581927711,0.418853345,0.673640167,0.512195122,,,,,,,,,,,,,,,
3,fold_3,0.741809117,0.80841988,0.529526282,0.381587728,0.682274247,0.432661718,,,,,,,,,,,,,,,
4,fold_4,0.736467236,0.801845118,0.512516469,0.366064685,0.676521739,0.412513256,,,,,,,,,,,,,,,
5,fold_5,0.741096866,0.805319285,0.509115463,0.37616162,0.700743494,0.399787911,,,,,,,,,,,,,,,
6,mean,0.74451567,0.80654781,0.539373874,0.390170047,0.683081713,0.447507953,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006843725,0.003028454,0.032173448,0.022350356,0.010553362,0.047400841,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,LARP4_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.724175824,0.717295143,0.438478747,0.303687648,0.636363636,0.33447099,,,,,,,,,,,,,,,
2,fold_2,0.72014652,0.730139106,0.429850746,0.292067716,0.62472885,0.327645051,,,,,,,,,,,,,,,
3,fold_3,0.719413919,0.729870826,0.392063492,0.281270555,0.648293963,0.281001138,,,,,,,,,,,,,,,
4,fold_4,0.720512821,0.728605329,0.404371585,0.286647153,0.644278607,0.294653015,,,,,,,,,,,,,,,
5,fold_5,0.714652015,0.732054561,0.395655547,0.269895341,0.62195122,0.290102389,,,,,,,,,,,,,,,
6,mean,0.71978022,0.727592993,0.412084023,0.286713683,0.635123255,0.305574516,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.00340679,0.00588743,0.020871848,0.012542626,0.011622959,0.02389891,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,LIN28B_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.671517672,0.637915562,0.298816568,0.1408859,0.48441247,0.216042781,,,,,,,,,,,,,,,
2,fold_2,0.67983368,0.595019694,0.043478261,0.078696833,0.677419355,0.022459893,,,,,,,,,,,,,,,
3,fold_3,0.67983368,0.6195501,0.25483871,0.142541905,0.518032787,0.168983957,,,,,,,,,,,,,,,
4,fold_4,0.671864172,0.631124584,0.184323859,0.093097818,0.473451327,0.114438503,,,,,,,,,,,,,,,
5,fold_5,0.674289674,0.640771632,0.250398724,0.126686994,0.492163009,0.167914439,,,,,,,,,,,,,,,
6,mean,0.675467775,0.624876315,0.206371224,0.11638189,0.52909579,0.137967914,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.004126119,0.018584337,0.099817162,0.028953841,0.084526927,0.073909083,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,PABPC4_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.730769231,0.722382259,0.454363757,0.319867828,0.644612476,0.350823045,,,,,,,,,,,,,,,
2,fold_2,0.731426693,0.738955985,0.457142857,0.322112482,0.645403377,0.353909465,,,,,,,,,,,,,,,
3,fold_3,0.729783037,0.728627661,0.447580645,0.315812828,0.645348837,0.342592593,,,,,,,,,,,,,,,
4,fold_4,0.733727811,0.721789328,0.46,0.328147303,0.653409091,0.354938272,,,,,,,,,,,,,,,
5,fold_5,0.739973702,0.736925707,0.483344219,0.348380361,0.661896243,0.380658436,,,,,,,,,,,,,,,
6,mean,0.733136095,0.729736188,0.460486296,0.32686416,0.650134005,0.356584362,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.004088707,0.007986794,0.013582535,0.012828215,0.007497339,0.014303742,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,PPIG_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.763909047,0.816629536,0.616954474,0.449854744,0.663571127,0.576457646,,,,,,,,,,,,,,,
2,fold_2,0.767295597,0.823599415,0.635329795,0.465315794,0.65751275,0.614594793,,,,,,,,,,,,,,,
3,fold_3,0.772012579,0.823085593,0.623075385,0.46548824,0.685136324,0.571323799,,,,,,,,,,,,,,,
4,fold_4,0.765360426,0.82695163,0.626204239,0.457117819,0.659764515,0.595892923,,,,,,,,,,,,,,,
5,fold_5,0.765118529,0.816062969,0.623789229,0.45538018,0.661190965,0.590392373,,,,,,,,,,,,,,,
6,mean,0.766739236,0.821265829,0.625070624,0.458631355,0.665435136,0.589732307,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.003188082,0.004734196,0.006671404,0.006737737,0.011231034,0.017114481,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,PUM2_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.852207977,0.923591855,0.786412764,0.673703059,0.773279352,0.8,,,,,,,,,,,,,,,
2,fold_2,0.863603989,0.927080749,0.802882141,0.69888931,0.789473684,0.816753927,,,,,,,,,,,,,,,
3,fold_3,0.847222222,0.92072852,0.766721044,0.654468092,0.797511312,0.738219895,,,,,,,,,,,,,,,
4,fold_4,0.859330484,0.925844322,0.792650919,0.686217129,0.794736842,0.790575916,,,,,,,,,,,,,,,
5,fold_5,0.856481481,0.923942779,0.788229112,0.679704282,0.791139241,0.785340314,,,,,,,,,,,,,,,
6,mean,0.855769231,0.924237645,0.787379196,0.678596375,0.789228086,0.78617801,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006330623,0.002422943,0.013196097,0.016410554,0.009447661,0.029351142,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,RBM15_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.742380261,0.767476348,0.554951943,0.383007746,0.631779258,0.494783905,,,,,,,,,,,,,,,
2,fold_2,0.739235607,0.769927865,0.478723404,0.352093584,0.681818182,0.368852459,,,,,,,,,,,,,,,
3,fold_3,0.740203193,0.774931516,0.520963426,0.365330777,0.648888889,0.435171386,,,,,,,,,,,,,,,
4,fold_4,0.739477504,0.7747922,0.521120498,0.363972754,0.646085998,0.436661699,,,,,,,,,,,,,,,
5,fold_5,0.7397194,0.768257134,0.533795494,0.369194016,0.637681159,0.459016393,,,,,,,,,,,,,,,
