,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AGO1234,acc,auc,f1,mcc,precision,recall,,,AGO1234,0.7956,0.7123825,0.217099347,0.168131724,0.461805022,0.145,0.005727128,0.02191318,0.065502881,0.046124025,0.038037226,0.053150729
1,fold_1,0.796,0.72773125,0.25,0.189563991,0.472222222,0.17,,,AGO2,0.7906,0.60004125,0.06377637,0.032529352,0.260605015,0.037,0.004827007,0.017036581,0.05558634,0.060353065,0.129267637,0.034205263
2,fold_2,0.803,0.7257375,0.298932384,0.23640652,0.518518519,0.21,,,AGO2-M,0.734352701,0.656629638,0.513763855,0.356482344,0.646082343,0.430618603,0.004352235,0.013204543,0.030596815,0.011972892,0.0329079,0.055015292
3,fold_3,0.797,0.73035625,0.150627615,0.13171832,0.461538462,0.09,,,Binding_1,0.843643644,0.840906133,0.523888962,0.451190022,0.670733661,0.43,0.004442911,0.016085105,0.018679583,0.019076177,0.015096418,0.020916501
4,fold_4,0.795,0.6959125,0.149377593,0.123556288,0.43902439,0.09,,,Binding_2,0.8402,0.84530375,0.520514044,0.443530875,0.651751229,0.438,0.007085196,0.011222603,0.048481053,0.036571266,0.030494339,0.066764512
5,fold_5,0.787,0.682175,0.23655914,0.159413499,0.417721519,0.165,,,eIF4AIII_1,0.8966,0.92991375,0.721612474,0.662758964,0.783266834,0.672,0.006188699,0.005638985,0.022328476,0.021829603,0.03632281,0.049066282
6,mean,0.7956,0.7123825,0.217099347,0.168131724,0.461805022,0.145,,,eIF4AIII_2,0.8972,0.93812875,0.721871092,0.66356241,0.786021381,0.67,0.006906519,0.007683217,0.028453791,0.027394493,0.024219051,0.054198708
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,ELVAL1-1,0.845045045,0.882724656,0.558782537,0.474346257,0.644370687,0.497,0.017271256,0.018355314,0.072621419,0.075333393,0.040423961,0.095433223
8,mean_std,0.005727128,0.02191318,0.065502881,0.046124025,0.038037226,0.053150729,,,ELVAL1-2,0.8646,0.906405,0.607503459,0.538925741,0.724055813,0.525,0.002073644,0.012892262,0.016465319,0.009276083,0.026170897,0.033726844
9, , , , , , , ,,,ELVAL1-A,0.8394,0.849755,0.535645372,0.45219479,0.641184658,0.465,0.009099451,0.007269516,0.023833144,0.021484142,0.050725672,0.052678269
,Test,=,==,===,====,=====,======,,,ELVAL1-M,0.7976,0.58199,0.055116163,0.066276229,0.439461917,0.03,0.003435113,0.020065813,0.029704994,0.036875267,0.168439334,0.01767767
0,AGO2,acc,auc,f1,mcc,precision,recall,,,EWSR1,0.8102,0.81010875,0.408501417,0.31898055,0.544323139,0.331,0.006760178,0.009059216,0.043089723,0.033204419,0.031664029,0.060971305
1,fold_1,0.79,0.58675,0.045454545,0.017857143,0.25,0.025,,,FUS,0.814,0.82255375,0.403432983,0.322069651,0.561713422,0.317,0.008336666,0.015317953,0.048642404,0.044282792,0.035906659,0.056524331
2,fold_2,0.791,0.615325,0.062780269,0.040025803,0.304347826,0.035,,,hnRNPC-1,0.872745491,0.903215539,0.645720758,0.575895073,0.732144557,0.579,0.007984658,0.010726526,0.020759544,0.025854899,0.039096579,0.031304952
3,fold_3,0.796,0.61314375,0.157024793,0.132110846,0.452380952,0.095,,,hnRNPC-2,0.891891892,0.937088861,0.710027003,0.648279468,0.76735663,0.665,0.008868891,0.006590333,0.034017059,0.033309545,0.037777343,0.064903775
4,fold_4,0.793,0.60774375,0.009569378,-0.021177365,0.111111111,0.005,,,hnRNPL-1,0.8002,0.66325125,0.172152777,0.159636801,0.517975833,0.106,0.004207137,0.016247011,0.049485423,0.0242578,0.066471465,0.037980258
5,fold_5,0.783,0.57724375,0.044052863,-0.006169667,0.185185185,0.025,,,hnRNPL-2,0.7954,0.6512775,0.092106019,0.085871437,0.425829194,0.053,0.005319774,0.011942351,0.041758436,0.034148107,0.0938745,0.026362853
6,mean,0.7906,0.60004125,0.06377637,0.032529352,0.260605015,0.037,,,HnRNPL-L,0.800800801,0.647453066,0.177529366,0.166392354,0.530272508,0.109,0.004641451,0.015798526,0.040939561,0.017858132,0.072271444,0.032863353
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,IGF2BP1-3,0.785,0.67565875,0.15360891,0.100692384,0.380101152,0.099,0.010839742,0.031230066,0.035282102,0.031575437,0.087291456,0.030290262
8,mean_std,0.004827007,0.017036581,0.05558634,0.060353065,0.129267637,0.034205263,,,MOV10,0.806,0.79214375,0.390996299,0.303971041,0.541186643,0.314,0.013693064,0.004715945,0.027767932,0.025758355,0.080454538,0.054013887
9, , , , , , , ,,,mut-FUS,0.818,0.8460025,0.47439535,0.375219244,0.560543593,0.415,0.008689074,0.012226449,0.052484232,0.046864878,0.024571489,0.071326713
,Test,=,==,===,====,=====,======,,,NSUN2,0.8018,0.7618025,0.304014032,0.235993209,0.508927667,0.217,0.006610598,0.0095131,0.035696996,0.036613459,0.038175798,0.029706902
0,AGO2-M,acc,auc,f1,mcc,precision,recall,,,PUM2,0.8882,0.9306675,0.704914597,0.638431264,0.74816549,0.668,0.01020784,0.010256075,0.026079199,0.031624212,0.039203591,0.036503424
1,fold_1,0.733474477,0.672922133,0.550218341,0.368270969,0.61673094,0.496655518,,,QKI,0.912,0.93627625,0.769745463,0.717426987,0.809831233,0.735,0.007141428,0.011035585,0.014733802,0.019963436,0.038803334,0.026220221
2,fold_2,0.734885909,0.66847527,0.540562576,0.365984221,0.62685156,0.47515528,,,SFRS1,0.851251251,0.855519399,0.541847994,0.478037329,0.708642586,0.44,0.010887468,0.013237983,0.034830007,0.040907601,0.053271232,0.037914377
3,fold_3,0.727436682,0.649675336,0.504843305,0.338048579,0.625044092,0.423416965,,,TAF1S,0.8264,0.85313875,0.449299402,0.374527549,0.614479775,0.356,0.003361547,0.005667457,0.035089903,0.02488508,0.012387988,0.04435651
4,fold_4,0.738492904,0.642960723,0.47817243,0.354694077,0.691715708,0.365375418,,,TDP-43,0.8904,0.88213875,0.679585645,0.63071617,0.821990887,0.583,0.003911521,0.008374583,0.018254727,0.0113382,0.047976678,0.048166378
5,fold_5,0.737473536,0.649114726,0.495022624,0.355413875,0.670069416,0.392489835,,,TIA1,0.832432432,0.870145181,0.518768399,0.42740642,0.610307703,0.452,0.007239113,0.011667695,0.027272514,0.028465457,0.024244166,0.035461246
6,mean,0.734352701,0.656629638,0.513763855,0.356482344,0.646082343,0.430618603,,,TIAL1,0.8336,0.8358125,0.52557131,0.435228349,0.615766573,0.462,0.01254193,0.010695202,0.032945788,0.037630162,0.05326898,0.048166378
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,U2AF65,0.8322,0.85717875,0.528360456,0.43435257,0.605711946,0.471,0.010894953,0.009150394,0.031523661,0.036317322,0.045224725,0.045055521
8,mean_std,0.004352235,0.013204543,0.030596815,0.011972892,0.0329079,0.055015292,,,Y2AF65,0.8408,0.85726125,0.536730871,0.452985262,0.643318269,0.461,0.008642916,0.011181905,0.020362686,0.026968287,0.035239221,0.019811613
9, , , , , , , ,,,AVG.,0.833811718,0.810737902,0.458931701,0.393291672,0.611546044,0.392665116,0.007489971,0.01245166,0.034944178,0.031552193,0.049976789,0.04421734
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,Binding_1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.836836837,0.83979975,0.495356037,0.421588907,0.650406504,0.4,,,,,,,,,,,,,,,
2,fold_2,0.845845846,0.836426783,0.541666667,0.465197689,0.669117647,0.455,,,,,,,,,,,,,,,
3,fold_3,0.842842843,0.852991239,0.516923077,0.445896582,0.672,0.42,,,,,,,,,,,,,,,
4,fold_4,0.843843844,0.817083855,0.527272727,0.453356699,0.669230769,0.435,,,,,,,,,,,,,,,
5,fold_5,0.848848849,0.858229036,0.5382263,0.469910234,0.692913386,0.44,,,,,,,,,,,,,,,
6,mean,0.843643644,0.840906133,0.523888962,0.451190022,0.670733661,0.43,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.004442911,0.016085105,0.018679583,0.019076177,0.015096418,0.020916501,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,Binding_2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.846,0.86069375,0.533333333,0.460893301,0.676923077,0.44,,,,,,,,,,,,,,,
2,fold_2,0.834,0.84665,0.439189189,0.388674148,0.677083333,0.325,,,,,,,,,,,,,,,
3,fold_3,0.841,0.85033125,0.552112676,0.462829048,0.632258065,0.49,,,,,,,,,,,,,,,
4,fold_4,0.848,0.83319375,0.560693642,0.480025534,0.664383562,0.485,,,,,,,,,,,,,,,
5,fold_5,0.832,0.83565,0.517241379,0.425232346,0.608108108,0.45,,,,,,,,,,,,,,,
6,mean,0.8402,0.84530375,0.520514044,0.443530875,0.651751229,0.438,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.007085196,0.011222603,0.048481053,0.036571266,0.030494339,0.066764512,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,eIF4AIII_1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.894,0.93456875,0.691860465,0.642285944,0.826388889,0.595,,,,,,,,,,,,,,,
2,fold_2,0.897,0.93253125,0.731070496,0.668534731,0.765027322,0.7,,,,,,,,,,,,,,,
3,fold_3,0.894,0.9275,0.730964467,0.665100635,0.742268041,0.72,,,,,,,,,,,,,,,
4,fold_4,0.891,0.92111875,0.706199461,0.642746981,0.766081871,0.655,,,,,,,,,,,,,,,
5,fold_5,0.907,0.93385,0.74796748,0.695126529,0.816568047,0.69,,,,,,,,,,,,,,,
6,mean,0.8966,0.92991375,0.721612474,0.662758964,0.783266834,0.672,,,,,,,,,,,,,,,
