,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,AGO1234,acc,auc,f1,mcc,precision,recall,,,AGO1234,0.719712821,0.654068016,0.517837507,0.330380323,0.587514618,0.467468354,0.004437839,0.012771792,0.02857444,0.010821284,0.023996433,0.059146916
1,fold_1,0.71774359,0.671124738,0.552956465,0.347198315,0.568090788,0.538607595,,,AGO2,0.7862,0.513125,0.098066726,0.057778195,0.322990161,0.058,0.01044988,0.011883221,0.028498166,0.051901924,0.110208393,0.016431677
2,fold_2,0.721538462,0.644778241,0.498244317,0.321610423,0.598844958,0.426582278,,,AGO2-M,0.736686391,0.631456432,0.443898997,0.33973705,0.696779248,0.339917695,0.005894287,0.028270369,0.070630736,0.022258803,0.064291786,0.109122872
3,fold_3,0.716410256,0.662396996,0.537702725,0.335241219,0.570010635,0.508860759,,,Binding_1,0.835270541,0.640706767,0.434652901,0.391809403,0.696399504,0.316,0.003136769,0.004473757,0.009825069,0.012959628,0.020930899,0.008215838
4,fold_4,0.726666667,0.639842204,0.482423772,0.32484656,0.624434389,0.393037975,,,Binding_2,0.83023023,0.623979975,0.397594926,0.362663321,0.687935574,0.28,0.006624782,0.010446541,0.02323657,0.028509233,0.045211653,0.01968502
5,fold_5,0.716205128,0.652197902,0.517860254,0.3230051,0.576192323,0.470253165,,,eIF4AIII_1,0.904627767,0.822848866,0.743054715,0.689284349,0.812423506,0.686,0.006573968,0.014319315,0.018586356,0.021376506,0.032658733,0.032672619
6,mean,0.719712821,0.654068016,0.517837507,0.330380323,0.587514618,0.467468354,,,eIF4AIII_2,0.887662989,0.806141782,0.704955706,0.637786993,0.745494832,0.67,0.001418469,0.013050486,0.011484865,0.009556616,0.018375836,0.034095454
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,ELVAL1-1,0.855711423,0.76327193,0.627769426,0.539626813,0.649869334,0.609,0.003815518,0.019577592,0.021935131,0.022598409,0.01258254,0.04814042
8,mean_std,0.004437839,0.012771792,0.02857444,0.010821284,0.023996433,0.059146916,,,ELVAL1-2,0.89049049,0.813463705,0.714230635,0.648008588,0.747256028,0.685,0.007204426,0.019082117,0.024235578,0.0272666,0.017860069,0.040773766
9, , , , , , , ,,,ELVAL1-A,0.864328657,0.761166667,0.634412037,0.554873909,0.689190914,0.589,0.004624441,0.018026631,0.02409573,0.022770467,0.010444204,0.041442732
,Test,=,==,===,====,=====,======,,,ELVAL1-M,0.73333333,0.66026776,0.50876147,0.344560705,0.588241552,0.4734767,0.00564852,0.03877166,0.08705262,0.039662724,0.046981786,0.14122586
0,AGO2,acc,auc,f1,mcc,precision,recall,,,EWSR1,0.8696,0.755,0.633745597,0.56232351,0.723385197,0.564,0.007924645,0.011498981,0.021146327,0.026538666,0.028065633,0.018506756
1,fold_1,0.792,0.523125,0.12605042,0.096759228,0.394736842,0.075,,,FUS,0.890981964,0.815302005,0.716841688,0.650775312,0.748311637,0.689,0.003277641,0.009780456,0.008979649,0.009116345,0.020989368,0.02678619
2,fold_2,0.77,0.498125,0.072580645,-0.007017011,0.1875,0.045,,,hnRNPC-1,0.91,0.839875,0.76214684,0.708951467,0.807173382,0.723,0.007106335,0.020345646,0.024613793,0.0267266,0.013880769,0.043387786
3,fold_3,0.785,0.51125,0.092827004,0.04767915,0.297297297,0.055,,,hnRNPC-2,0.9328,0.876625,0.82340267,0.783749854,0.86851799,0.783,0.00349285,0.00301688,0.007369485,0.010463199,0.01998667,0.007582875
4,fold_4,0.798,0.526875,0.129310345,0.122159091,0.46875,0.075,,,hnRNPL-1,0.808608609,0.596219024,0.335710285,0.271827156,0.551006604,0.242,0.008051683,0.014039097,0.032089384,0.035991579,0.048381494,0.027748874
5,fold_5,0.786,0.50625,0.069565217,0.029310519,0.266666667,0.04,,,hnRNPL-2,0.733224223,0.641931088,0.479937303,0.323013362,0.598962863,0.405713971,0.003335248,0.019293943,0.041446331,0.020756861,0.021753954,0.069181912
6,mean,0.7862,0.513125,0.098066726,0.057778195,0.322990161,0.058,,,HnRNPL-L,0.8048,0.577625,0.288833079,0.235021051,0.529482193,0.199,0.006906519,0.017009878,0.041429101,0.040884706,0.041613931,0.034168699
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,IGF2BP1-3,0.811398162,0.77673202,0.702465719,0.565901256,0.732740056,0.674839604,0.006735816,0.006339862,0.009030634,0.014312877,0.016139064,0.012035319
8,mean_std,0.01044988,0.011883221,0.028498166,0.051901924,0.110208393,0.016431677,,,MOV10,0.801401401,0.601459324,0.34912503,0.26436412,0.510236399,0.268,0.005600241,0.015527943,0.036018274,0.023442313,0.028587164,0.042953463
9, , , , , , , ,,,mut-FUS,0.8976,0.820875,0.729912157,0.66893443,0.772401534,0.693,0.004615192,0.015465435,0.017428641,0.018409904,0.018078387,0.035812009
,Test,=,==,===,====,=====,======,,,NSUN2,0.836,0.690875,0.522512988,0.435463758,0.625569125,0.449,0.00543139,0.011141841,0.019286195,0.02067781,0.019561027,0.023291629
0,AGO2-M,acc,auc,f1,mcc,precision,recall,,,PUM2,0.9098,0.839,0.761658978,0.708246829,0.807948427,0.721,0.002167948,0.008576403,0.007824018,0.007925117,0.016304795,0.021621748
1,fold_1,0.732741617,0.604710145,0.374133949,0.315266822,0.743119266,0.25,,,QKI,0.934068136,0.88458396,0.829399562,0.789972975,0.860513609,0.802,0.006883994,0.019851495,0.021342766,0.024060893,0.022985869,0.043674936
