,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,
0,A549,acc,auc,f1,mcc,precision,recall,,A549,0.9633,0.9793,0.9633,0.9283,0.9649,0.9633,0.00382012,0.00320687,0.00382885,0.00734987,0.00352949,0.00384771
1,fold_1,0.965,0.9765,0.965,0.9321,0.9671,0.965,,CD8T,0.9645,0.9793,0.9645,0.9307,0.9661,0.9647,0.00264762,0.0026933,0.00265615,0.00490469,0.00227061,0.00253861
2,fold_2,0.9607,0.9785,0.9607,0.9234,0.9626,0.9607,,ESC,0.9914,0.995,0.9914,0.983,0.9915,0.9914,0.00183815,0.00169653,0.00183815,0.00356129,0.00174295,0.00183815
3,fold_3,0.9646,0.9815,0.9646,0.93,0.9654,0.9646,,HCT116,0.9689,0.9775,0.9688,0.9394,0.9706,0.9689,0.00402211,0.00372858,0.00404261,0.00768115,0.0036728,0.00402211
4,fold_4,0.965,0.9808,0.965,0.9311,0.9661,0.965,,HEK293,0.9652,0.9801,0.9652,0.932,0.9668,0.9652,0.00210185,0.00143929,0.00209764,0.00415512,0.00203265,0.00210185
5,fold_5,0.9573,0.974,0.9572,0.9165,0.9593,0.9573,,HEK293T,0.9639,0.9812,0.9638,0.9294,0.9655,0.9639,0.00080719,0.00103409,0.00077467,0.00148328,0.00068386,0.00080719
6,fold_6,0.9581,0.9759,0.9581,0.9188,0.9607,0.9581,,Hela,0.9655,0.978,0.9654,0.9329,0.9674,0.9655,0.00255954,0.00241624,0.00255484,0.00480959,0.00226235,0.00255954
7,fold_7,0.9702,0.9852,0.9702,0.9418,0.9716,0.9702,,HepG2,0.9647,0.9737,0.9646,0.9315,0.9668,0.9647,0.001879243,0.002202751,0.001871541,0.003582194,0.00169758,0.001879243
8,fold_8,0.9624,0.9805,0.9624,0.9262,0.9638,0.9624,,MOLM13,0.9647,0.9849,0.9647,0.9307,0.966,0.9647,0.001429219,0.001023339,0.001430656,0.002941749,0.001493728,0.001429219
9,fold_9,0.9655,0.9803,0.9654,0.9325,0.9671,0.9659,,AVG.,0.968,0.981,0.968,0.9375,0.9695,0.968,0.002345005,0.00216011,0.002343901,0.004496548,0.002154002,0.002335958
10,fold_10,0.9642,0.9796,0.9641,0.9301,0.9655,0.9642,,,,,,,,,,,,,,
11,mean,0.9633,0.9793,0.9633,0.9283,0.9649,0.9633,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.003820122,0.003206868,0.003828852,0.007349868,0.003529495,0.003847712,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,, , , , , ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,CD8T,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9658,0.9791,0.9658,0.9329,0.967,0.9658,,,,,,,,,,,,,,
2,fold_2,0.9622,0.9783,0.9622,0.926,0.9638,0.9638,,,,,,,,,,,,,,
3,fold_3,0.9655,0.982,0.9655,0.9326,0.9671,0.9655,,,,,,,,,,,,,,
4,fold_4,0.9674,0.9808,0.9674,0.936,0.9686,0.9674,,,,,,,,,,,,,,
5,fold_5,0.9619,0.9757,0.9618,0.9258,0.9639,0.9619,,,,,,,,,,,,,,
6,fold_6,0.9664,0.9795,0.9663,0.9342,0.9679,0.9664,,,,,,,,,,,,,,
7,fold_7,0.9596,0.9747,0.9596,0.9219,0.9622,0.9596,,,,,,,,,,,,,,
8,fold_8,0.9653,0.9819,0.9653,0.932,0.9667,0.9653,,,,,,,,,,,,,,
9,fold_9,0.9633,0.9778,0.9632,0.9284,0.9651,0.9633,,,,,,,,,,,,,,
10,fold_10,0.9677,0.9827,0.9677,0.9368,0.969,0.9677,,,,,,,,,,,,,,
11,mean,0.9645,0.9793,0.9645,0.9307,0.9661,0.9647,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
