,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,A549,acc,auc,f1,mcc,precision,recall,,A549,0.9626,0.9788,0.9626,0.9273,0.9647,0.9626,0.003871104,0.003324722,0.003894169,0.007348923,0.003478649,0.003871104
1,fold_1,0.956,0.9737,0.9559,0.9143,0.9584,0.956,,CD8T,0.9653,0.98,0.9652,0.9325,0.9672,0.9653,0.00293417,0.00256463,0.00293818,0.00552695,0.00260105,0.00293417
2,fold_2,0.9633,0.9807,0.9633,0.9288,0.9655,0.9633,,ESC,0.9907,0.9948,0.9907,0.9817,0.9909,0.9907,0.002768955,0.001551666,0.002768955,0.005444304,0.002665333,0.002768955
3,fold_3,0.965,0.9806,0.965,0.9318,0.9668,0.965,,HCT116,0.9681,0.9775,0.968,0.938,0.97,0.9681,0.003303887,0.004828262,0.003284374,0.006192513,0.00289513,0.003303887
4,fold_4,0.9568,0.9736,0.9567,0.9169,0.9601,0.9568,,HEK293,0.9658,0.9807,0.9657,0.9334,0.9676,0.9658,0.002130441,0.00172823,0.002154169,0.003972419,0.001844782,0.002130441
5,fold_5,0.9655,0.979,0.9654,0.9328,0.9674,0.9655,,HEK293T,0.9644,0.9816,0.9643,0.9306,0.9662,0.9644,0.00082523,0.00088418,0.00082084,0.00157272,0.00075159,0.00082523
6,fold_6,0.9637,0.9767,0.9637,0.9294,0.9656,0.9637,,Hela,0.966,0.9787,0.966,0.9341,0.9681,0.966,0.00231442,0.00233621,0.00232771,0.00429672,0.00197791,0.00231442
7,fold_7,0.9642,0.9791,0.9641,0.9307,0.9666,0.9642,,HepG2,0.9649,0.9736,0.9649,0.9321,0.9672,0.9649,0.00187738,0.0023544,0.00189103,0.00354175,0.00167534,0.00187738
8,fold_8,0.9676,0.9837,0.9676,0.9368,0.9692,0.9676,,MOLM13,0.9656,0.985,0.9656,0.9328,0.9672,0.9656,0.001460023,0.001144261,0.001471054,0.002939085,0.001483989,0.001460023
9,fold_9,0.9646,0.9821,0.9646,0.9305,0.9659,0.9646,,AVG.,0.9682,0.9812,0.9681,0.9381,0.9699,0.9682,0.00238729,0.00230184,0.002394498,0.004537265,0.002152641,0.00238729
10,fold_10,0.9594,0.9792,0.9594,0.921,0.9616,0.9594,,,,,,,,,,,,,,
11,mean,0.9626,0.9788,0.9626,0.9273,0.9647,0.9626,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.003871104,0.003324722,0.003894169,0.007348923,0.003478649,0.003871104,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,, , , , ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,CD8T,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9619,0.976,0.9618,0.9262,0.9643,0.9619,,,,,,,,,,,,,,
2,fold_2,0.967,0.9834,0.967,0.9358,0.9688,0.967,,,,,,,,,,,,,,
3,fold_3,0.9684,0.9809,0.9684,0.9384,0.97,0.9684,,,,,,,,,,,,,,
4,fold_4,0.9676,0.981,0.9675,0.937,0.9695,0.9676,,,,,,,,,,,,,,
5,fold_5,0.9636,0.9775,0.9636,0.9292,0.9656,0.9636,,,,,,,,,,,,,,
6,fold_6,0.967,0.9812,0.967,0.9356,0.9686,0.967,,,,,,,,,,,,,,
7,fold_7,0.9679,0.9826,0.9679,0.9375,0.9696,0.9679,,,,,,,,,,,,,,
8,fold_8,0.9596,0.9763,0.9596,0.9219,0.9623,0.9596,,,,,,,,,,,,,,
9,fold_9,0.9658,0.9813,0.9658,0.9336,0.9677,0.9658,,,,,,,,,,,,,,
10,fold_10,0.9636,0.98,0.9636,0.9293,0.9657,0.9636,,,,,,,,,,,,,,
11,mean,0.9653,0.98,0.9652,0.9325,0.9672,0.9653,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002934167,0.002564631,0.002938178,0.005526954,0.002601047,0.002934167,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,ESC,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9908,0.9946,0.9908,0.9818,0.991,0.9908,,,,,,,,,,,,,,
