left_or_right,conservation_score
right,-2.156
right,-2.390
right,0.347
right,0.173
right,0.367
right,0.314
right,0.864
right,0.148
right,1.255
right,0.241
right,-0.389
right,0.081
right,0.248
right,0.304
right,0.273
right,-1.038
right,0.230
right,0.154
right,-1.137
right,0.252
right,-2.168
right,-0.045
right,-1.262
right,0.835
right,0.202
right,0.018
right,-0.906
right,8.350
right,-0.793
right,-0.956
right,0.185
right,-2.947
right,0.176
right,0.208
right,0.000
right,-0.830
right,0.356
right,0.161
right,0.199
right,0.201
right,2.908
right,2.339
right,0.759
right,-2.244
right,0.252
right,0.046
right,0.697
right,-1.051
right,-1.522
right,-0.735
right,-0.775
right,0.329
right,0.276
right,0.279
right,0.279
right,0.421
right,0.500
right,0.421
right,0.000
right,-0.473
right,-1.312
right,-0.099
right,-0.819
right,-3.466
right,-4.363
right,-2.436
right,-1.023
right,-0.007
right,0.146
right,-2.217
right,1.204
right,-0.652
right,-0.790
right,0.396
right,-1.478
right,0.769
right,0.222
right,-0.196
right,0.289
right,0.744
right,0.832
right,0.305
right,-0.956
right,-0.972
right,-0.097
right,1.783
right,0.804
right,-0.264
right,1.311
right,-0.818
right,0.517
right,0.124
right,-0.066
right,1.955
right,-0.568
right,1.325
right,0.901
right,0.123
right,-2.295
right,-0.085
right,-0.074
right,1.460
right,-0.621
right,0.151
right,0.892
right,2.666
right,2.260
right,3.633
right,-1.249
right,-1.156
right,-2.531
right,0.576
right,-0.035
right,-0.090
right,-0.562
right,-0.162
right,0.624
right,-1.216
right,0.226
right,0.200
right,-2.398
right,0.197
right,-1.151
right,-0.974
right,0.465
right,-0.447
right,0.664
right,-0.473
right,1.493
right,1.310
right,-0.369
right,-0.171
right,-1.725
right,-0.112
right,-0.587
right,-0.230
right,-0.106
right,1.129
right,-0.264
right,-1.114
right,-0.197
right,0.566
right,0.199
right,0.421
right,0.055
right,-4.768
right,-0.599
right,-0.232
right,0.791
right,0.162
right,0.184
right,-0.240
right,0.416
right,0.214
right,0.593
right,-0.779
right,0.181
right,-0.586
right,-3.239
right,0.245
right,0.363
right,0.196
right,1.316
right,1.399
right,-2.313
right,0.315
right,-0.656
right,-1.063
right,2.122
right,0.999
right,-2.125
right,0.177
right,0.243
right,-0.347
right,0.299
right,0.299
right,0.302
right,0.299
right,-1.567
right,0.347
right,-0.664
right,0.214
right,0.252
right,0.212
right,-1.076
right,0.219
right,-0.922
right,1.232
right,0.376
right,5.308
right,-2.190
right,0.596
right,1.967
right,0.016
right,0.037
right,-0.172
right,-0.970
right,-0.247
right,-0.488
right,-1.567
right,6.227
right,1.575
right,0.361
right,-4.611
right,0.780
right,-1.505
right,1.878
right,2.580
right,1.965
right,1.419
right,-0.248
right,2.160
right,0.555
right,-0.118
right,-0.858
right,0.292
right,-0.316
right,-0.021
right,0.053
right,0.111
right,0.469
right,0.443
right,-0.397
right,-0.964
right,-0.474
right,0.154
right,0.445
right,-1.176
right,0.922
right,0.814
right,-1.326
right,-2.383
right,0.214
right,-0.327
right,-1.235
right,-0.426
right,-0.707
right,-1.730
right,-0.615
right,-0.691
right,-1.465
right,0.037
right,-0.173
right,0.670
right,-0.109
right,-1.620
right,0.124
right,0.213
right,-0.011
right,-0.311
right,-0.142
right,0.449
right,2.056
right,-0.071
right,2.494
right,-0.572
right,0.365
right,-0.554
right,0.365
right,0.308
right,1.128
right,0.299
right,0.302
right,-1.562
right,0.042
right,-0.554
right,-0.948
right,-0.236
right,0.357
right,-0.662
right,0.308
right,-0.513
right,-0.073
right,0.995
right,-0.536
right,0.279
right,0.313
right,0.233
right,0.329
right,0.276
right,0.329
right,-0.107
right,0.335
right,0.422
right,0.683
right,0.082
right,-0.265
right,0.712
right,0.222
right,-1.553
right,0.526
right,-1.249
right,0.682
right,-0.259
right,0.442
right,-0.262
right,-0.920
right,-0.569
right,-0.670
right,-1.158
right,0.897
right,0.062
right,-0.268
right,-1.010
right,1.065
right,0.873
right,0.405
right,0.071
right,0.240
right,0.101
right,2.966
right,-1.257
right,-0.356
right,-1.371
right,-0.770
right,-0.998
right,0.615
right,-0.350
right,-0.586
right,0.347
right,-0.586
right,-1.429
right,-0.070
right,-0.153
right,-0.288
right,-0.055
right,-0.764
right,0.819
right,-0.069
right,0.214
right,-0.409
right,2.639
right,2.004
right,0.421
right,0.185
right,0.031
right,0.567
right,1.449
right,-0.236
right,-2.066
right,-1.192
right,-0.983
right,0.796
right,-0.797
right,1.951
right,1.975
right,-1.282
right,0.700
right,1.162
right,-0.373
right,0.438
right,-0.617
right,-0.617
right,-0.381
right,0.617
right,-0.317
right,0.526
right,0.198
right,-0.950
right,-1.606
right,0.055
right,0.707
right,-0.261
right,0.028
right,1.301
right,0.482
right,0.205
right,-1.206
right,1.385
right,-0.699
right,0.339
right,-0.675
right,0.261
right,-0.859
right,-0.672
right,0.261
right,0.259
right,0.000
right,-0.916
right,0.185
right,-0.129
right,2.729
right,1.024
right,1.573
right,1.595
right,-0.316
right,-0.078
right,-1.536
right,0.113
right,0.113
right,0.469
right,0.472
right,1.167
right,-0.273
right,-0.579
right,0.417
right,0.055
right,0.055
right,0.061
right,0.055
right,-0.948
right,0.077
right,2.134
right,0.286
right,-0.201
right,-0.551
right,0.805
right,-0.441
right,-0.406
right,0.707
right,-0.323
right,-0.323
right,-0.237
right,-0.797
right,-0.057
right,0.855
right,-0.298
right,0.152
right,0.219
right,-0.944
right,0.236
right,0.337
right,1.490
right,-3.295
right,-0.242
right,-0.609
right,0.113
right,-0.177
right,0.117
right,-0.458
right,-0.425
right,-0.320
right,0.028
right,-0.532
right,-0.238
right,0.202
right,0.203
right,0.202
right,0.202
right,0.202
right,0.239
right,0.203
right,0.203
right,-0.338
right,0.284
right,-0.939
right,2.674
right,0.841
right,-0.305
right,0.011
right,0.548
right,-0.912
right,-0.574
right,-0.008
right,0.165
right,-0.958
right,-0.450
right,0.514
right,-0.026
right,-0.384
right,-1.093
right,0.305
right,2.968
right,-0.589
right,2.906
right,1.821
right,3.976
right,-0.259
right,0.531
right,-0.359
right,-0.173
right,4.704
right,4.067
right,-0.760
right,-0.539
right,-0.242
right,-0.231
right,0.195
right,0.347
right,0.305
right,-0.307
right,-0.332
right,-0.349
right,-0.614
right,-0.139
right,-0.189
right,0.451
right,1.268
right,0.027
right,0.422
right,-2.136
right,-1.352
right,0.192
right,0.192
right,0.195
right,0.539
right,0.013
right,0.519
right,0.554
right,-0.937
right,0.823
right,-0.137
right,-0.034
right,1.596
right,0.708
right,-0.231
right,0.802
right,-0.134
right,-0.299
right,0.298
right,-0.599
right,2.072
right,0.494
right,0.141
right,-0.335
right,0.099
right,-0.880
right,0.219
right,-0.041
right,0.030
right,-0.258
right,-0.646
right,-0.112
right,0.291
right,-0.763
right,0.262
right,-0.537
right,0.563
right,0.044
right,-0.544
right,-2.090
right,1.425
right,1.370
right,0.041
right,-1.038
right,0.558
right,0.406
right,0.410
right,-0.503
right,-0.454
right,0.295
right,0.267
right,0.332
right,0.332
right,-0.603
right,0.334
right,-0.350
right,2.466
right,-0.340
right,-0.297
right,0.562
right,-1.487
right,0.075
right,-0.289
right,0.500
right,-0.071
right,-0.135
right,1.413
right,0.308
right,0.308
right,0.347
right,-0.288
right,-2.282
right,0.327
right,0.184
right,3.572
right,1.250
right,1.072
right,0.283
right,-1.117
right,1.815
right,9.288
right,1.175
right,-0.441
right,0.171
right,-0.532
right,5.841
right,-0.361
right,0.750
right,2.870
right,0.546
right,1.507
right,0.362
right,-0.025
right,4.085
right,5.764
right,0.715
right,4.234
right,0.822
right,0.383
right,1.549
right,-1.105
right,0.053
right,0.160
right,0.153
right,0.137
right,0.137
right,0.245
right,0.117
right,-0.151
right,0.559
right,0.147
right,-1.032
right,1.595
right,-0.090
right,0.174
right,-0.275
right,0.426
right,-0.681
right,-0.618
right,-0.447
right,-2.678
right,0.563
right,-1.422
right,0.624
right,-1.307
right,-0.029
right,0.081
right,-1.248
right,1.572
right,0.729
right,-0.562
right,-0.714
right,0.266
right,-0.197
right,0.521
right,-0.652
right,-2.078
right,-0.045
right,-1.077
right,0.000
right,0.362
right,0.110
right,-0.454
right,2.090
right,0.336
right,0.489
right,0.044
right,-2.962
right,-0.396
right,-1.058
right,-0.208
right,0.770
right,0.133
right,-0.512
right,0.762
right,0.931
right,0.308
