name,domain
CELF1_1,RRM
CELF2_1,RRM
ELAVL1_1,RRM
ELAVL1_2,RRM
ELAVL1_3,RRM
ELAVL1_4,RRM
ELAVL1_5,RRM
FMR1_1,KH
FUS_1,RRM
HNRNPA1_1,RRM
HNRNPA1_2,RRM
HNRNPF_1,Other
HNRNPH1_1,Other
HNRNPH1_2,Other
HNRNPH1_3,Other
HNRNPH2_1,Other
HNRNPH2_2,Other
HNRNPH2_3,Other
HNRNPH2_4,Other
HNRNPH2_5,Other
HNRNPH3_1,RRM
HNRNPH3_2,RRM
HNRNPH3_3,RRM
HNRNPK_1,KH
HNRNPK_2,KH
NOVA1_1,KH
NOVA2_1,KH
NXF1_1,Other
PCBP1_1,KH
PCBP2_1,KH
PCBP2_2,KH
PCBP2_3,KH
PTBP1_1,RRM
PTBP1_10,RRM
PTBP1_11,RRM
PTBP1_12,RRM
PTBP1_13,RRM
PTBP1_2,RRM
PTBP1_3,RRM
PTBP1_4,RRM
PTBP1_5,RRM
PTBP1_6,RRM
PTBP1_7,RRM
PTBP1_8,RRM
PTBP1_9,RRM
PUM1_1,PUF
RBM25_1,Other
RBM4_1,Other
RBM5_1,Other
RBM5_2,Other
RBM5_3,Other
RBMX_1,RRM
RBMX_2,RRM
SFPQ_1,RRM
SRSF1_1,RRM
SRSF1_2,RRM
SRSF1_3,RRM
SRSF1_4,RRM
SRSF1_5,RRM
SRSF1_6,RRM
SRSF2_1,RRM
SRSF2_2,RRM
SRSF2_3,RRM
SRSF2_4,RRM
SRSF3_1,RRM
SRSF3_2,RRM
SRSF7_1,RRM
SRSF7_2,RRM
TIA1_1,RRM
TIAL1_1,RRM
YBX1_1,CSD
YBX1_2,CSD
YBX1_3,CSD
YBX1_4,CSD
YBX1_5,CSD
