,0,
0,0.187550598,-50
1,0.172428349,-49
2,0.15297756,-48
3,0.119882701,-47
4,0.092814298,-46
5,0.080629582,-45
6,0.074805235,-44
7,0.073614855,-43
8,0.072085446,-42
9,0.074665832,-41
10,0.077182021,-40
11,0.081723113,-39
12,0.084353953,-38
13,0.087586718,-37
14,0.088335739,-36
15,0.089790238,-35
16,0.089731193,-34
17,0.09142539,-33
18,0.097618797,-32
19,0.105448564,-31
20,0.113759237,-30
21,0.11673535,-29
22,0.120890184,-28
23,0.122634034,-27
24,0.121564707,-26
25,0.113647224,-25
26,0.103200537,-24
27,0.091255996,-23
28,0.083663956,-22
29,0.08158801,-21
30,0.080873449,-20
31,0.081417987,-19
32,0.079987703,-18
33,0.082523075,-17
34,0.084712888,-16
35,0.086412678,-15
36,0.087113746,-14
37,0.087531221,-13
38,0.091528371,-12
39,0.093074397,-11
40,0.093546911,-10
41,0.089324339,-9
42,0.085970855,-8
43,0.082467426,-7
44,0.078813036,-6
45,0.076348143,-5
46,0.073762376,-4
47,0.071250193,-3
48,0.068242941,-2
49,0.06634328,-1
50,0.064953217,0
51,0.064177394,1
52,0.062583292,2
53,0.060988774,3
54,0.058817113,4
55,0.056912393,5
56,0.056120356,6
57,0.054215455,7
58,0.0529786,8
59,0.051829128,9
60,0.052760832,10
61,0.052943051,11
62,0.052302176,12
63,0.052949431,13
64,0.051687596,14
65,0.051400497,15
66,0.049165067,16
67,0.048238223,17
68,0.046673532,18
69,0.045083539,19
70,0.044204554,20
71,0.043652278,21
72,0.043614448,22
73,0.044993566,23
74,0.04609276,24
75,0.048556081,25
76,0.04846842,26
77,0.048182148,27
78,0.047716883,28
79,0.047666571,29
80,0.04768448,30
81,0.046995059,31
82,0.046403706,32
83,0.045188396,33
84,0.043577712,34
85,0.042372634,35
86,0.041241079,36
87,0.040516202,37
88,0.040116633,38
89,0.040060415,39
90,0.040029969,40
91,0.039884133,41
92,0.039575131,42
93,0.039070451,43
94,0.038937413,44
95,0.037909035,45
96,0.037014559,46
97,0.035834618,47
98,0.024010369,48
99,0.011942261,49
