,0,
0,0.089281698,-50
1,0.084524732,-49
2,0.082030632,-48
3,0.079228297,-47
4,0.075897341,-46
5,0.072439425,-45
6,0.067791635,-44
7,0.081896477,-43
8,0.116605137,-42
9,0.143992938,-41
10,0.173015505,-40
11,0.226908342,-39
12,0.266108987,-38
13,0.267447676,-37
14,0.231691692,-36
15,0.215652531,-35
16,0.209254682,-34
17,0.170109243,-33
18,0.147879804,-32
19,0.152441068,-31
20,0.163821386,-30
21,0.154111798,-29
22,0.129930153,-28
23,0.114576685,-27
24,0.096262603,-26
25,0.07183968,-25
26,0.057054653,-24
27,0.051285957,-23
28,0.049243258,-22
29,0.047307788,-21
30,0.045348658,-20
31,0.043506716,-19
32,0.042180826,-18
33,0.041307774,-17
34,0.040498442,-16
35,0.039678135,-15
36,0.038227332,-14
37,0.037068269,-13
38,0.035830115,-12
39,0.034806829,-11
40,0.034539595,-10
41,0.033706436,-9
42,0.033170193,-8
43,0.032330234,-7
44,0.031513716,-6
45,0.03082487,-5
46,0.030219391,-4
47,0.029894327,-3
48,0.029398043,-2
49,0.028963564,-1
50,0.028681332,0
51,0.028426018,1
52,0.028093071,2
53,0.028205024,3
54,0.028140446,4
55,0.027742006,5
56,0.027134306,6
57,0.026436526,7
58,0.025816405,8
59,0.025262572,9
60,0.025088042,10
61,0.025121029,11
62,0.025041324,12
63,0.024851789,13
64,0.024807933,14
65,0.024816536,15
66,0.024891165,16
67,0.025084714,17
68,0.025231245,18
69,0.025148808,19
70,0.024759337,20
71,0.024666374,21
72,0.024731579,22
73,0.024717243,23
74,0.02479421,24
75,0.02506511,25
76,0.025153708,26
77,0.02471367,27
78,0.02408287,28
79,0.023759516,29
80,0.023679109,30
81,0.023605924,31
82,0.023702191,32
83,0.023716508,33
84,0.02363802,34
85,0.023216443,35
86,0.022938757,36
87,0.023057065,37
88,0.023415341,38
89,0.023927252,39
90,0.024319312,40
91,0.024590847,41
92,0.024696362,42
93,0.02449303,43
94,0.024424897,44
95,0.02474162,45
96,0.025289079,46
97,0.026123339,47
98,0.022114246,48
99,0.018137902,49
