,0,
0,0.097131678,-50
1,0.085225946,-49
2,0.079320559,-48
3,0.074995475,-47
4,0.071169675,-46
5,0.067421075,-45
6,0.059289293,-44
7,0.055592555,-43
8,0.052588659,-42
9,0.050465062,-41
10,0.050005752,-40
11,0.050949465,-39
12,0.051917019,-38
13,0.052966893,-37
14,0.05394242,-36
15,0.056779525,-35
16,0.059381352,-34
17,0.06228948,-33
18,0.066847086,-32
19,0.071462698,-31
20,0.076190218,-30
21,0.079449173,-29
22,0.084045566,-28
23,0.087796254,-27
24,0.089169343,-26
25,0.092403236,-25
26,0.097109487,-24
27,0.100009548,-23
28,0.100148025,-22
29,0.101396371,-21
30,0.102643019,-20
31,0.101925607,-19
32,0.100039372,-18
33,0.09823587,-17
34,0.099173413,-16
35,0.100100398,-15
36,0.102802428,-14
37,0.106985383,-13
38,0.114755801,-12
39,0.123829719,-11
40,0.134694071,-10
41,0.144219053,-9
42,0.150030303,-8
43,0.154512751,-7
44,0.154556085,-6
45,0.153931578,-5
46,0.152275537,-4
47,0.149678978,-3
48,0.148812409,-2
49,0.148277832,-1
50,0.146574171,0
51,0.146173643,1
52,0.143320652,2
53,0.141417573,3
54,0.138882062,4
55,0.133488699,5
56,0.127646614,6
57,0.119996085,7
58,0.112824862,8
59,0.104026328,9
60,0.096184321,10
61,0.089979839,11
62,0.085069467,12
63,0.080089783,13
64,0.074420174,14
65,0.06977216,15
66,0.065285804,16
67,0.060977493,17
68,0.057640625,18
69,0.054932658,19
70,0.052112709,20
71,0.050046952,21
72,0.048545292,22
73,0.046768407,23
74,0.045489256,24
75,0.044163622,25
76,0.042952857,26
77,0.041902936,27
78,0.040740078,28
79,0.040022838,29
80,0.038975304,30
81,0.038538819,31
82,0.038371609,32
83,0.037850755,33
84,0.037024525,34
85,0.036227993,35
86,0.035449021,36
87,0.034428676,37
88,0.033739833,38
89,0.0336298,39
90,0.033672683,40
91,0.03374356,41
92,0.033613888,42
93,0.033891398,43
94,0.033958035,44
95,0.033882023,45
96,0.034355186,46
97,0.03462018,47
98,0.029063944,48
99,0.02345247,49
