left_or_right,conservation_score
right,0.230
right,0.835
right,-0.906
right,-0.830
right,0.356
right,-1.522
right,0.279
right,0.279
right,-1.312
right,-0.819
right,-2.436
right,-0.007
right,0.305
right,-0.956
right,-0.097
right,1.783
right,-0.568
right,0.901
right,0.123
right,-0.085
right,0.892
right,2.666
right,2.260
right,-0.090
right,0.226
right,0.200
right,-0.974
right,-0.587
right,0.162
right,0.184
right,-0.240
right,0.214
right,0.245
right,0.177
right,0.252
right,0.212
right,0.016
right,-0.248
right,2.160
right,0.814
right,-1.326
right,-1.730
right,-0.109
right,-0.071
right,-0.554
right,0.357
right,0.233
right,0.329
right,0.329
right,-0.107
right,0.683
right,-1.249
right,-0.920
right,-0.569
right,-0.268
right,-1.010
right,1.065
right,0.405
right,-0.069
right,0.421
right,0.031
right,-0.983
right,1.975
right,-1.282
right,1.162
right,-0.317
right,0.526
right,0.198
right,-0.699
right,0.339
right,-0.675
right,-0.316
right,0.469
right,0.055
right,-0.948
right,-0.551
right,-0.237
right,0.113
right,-0.238
right,2.674
right,-0.008
right,-0.958
right,-0.450
right,0.514
right,-0.026
right,-0.760
right,0.195
right,-0.139
right,0.013
right,-0.034
right,-0.231
right,0.802
right,0.494
right,0.030
right,0.563
right,0.044
right,0.295
right,-0.297
right,0.562
right,-0.071
right,-0.135
right,-0.288
right,-2.282
right,-1.117
right,-0.441
right,0.171
right,0.546
right,1.507
right,0.383
right,-1.422
right,-2.078
right,0.110
right,-0.208
right,0.133
right,0.179
right,-0.768
right,1.173
right,-0.174
right,0.759
right,0.001
right,-0.193
right,-0.266
right,0.474
right,-0.584
right,-0.579
right,6.888
right,0.167
right,0.167
right,-0.071
right,0.064
right,0.064
right,8.947
right,5.985
right,-0.972
right,-0.511
right,-1.217
right,1.262
right,-1.781
right,0.001
right,-0.475
right,2.451
right,0.147
right,0.077
right,0.249
right,0.249
right,0.161
right,0.345
right,-0.735
right,0.043
right,0.503
right,-0.412
right,0.056
right,0.214
right,0.171
right,-0.635
right,-0.242
right,0.657
right,-0.009
right,-0.039
right,-0.069
right,1.940
right,-0.528
right,-0.352
right,0.159
right,0.018
right,0.474
right,-0.091
right,0.696
right,0.750
right,0.214
right,-0.185
right,0.751
right,0.352
right,-0.154
right,2.350
right,0.007
right,1.224
right,1.302
right,-0.767
right,1.155
right,0.102
right,0.843
right,-0.015
right,-0.064
right,0.188
right,0.448
right,0.541
right,1.279
right,0.790
right,-0.059
right,-0.169
right,0.381
right,3.536
right,1.409
right,-2.364
right,-0.103
right,0.409
right,0.192
right,-0.296
right,-0.503
right,0.159
right,2.811
right,-0.830
right,-0.560
right,0.214
right,-0.535
right,-0.471
right,-0.297
right,-1.171
right,0.829
right,1.469
right,1.211
right,0.344
right,0.320
right,-0.158
right,0.282
right,0.257
right,0.704
right,0.279
right,0.188
right,0.241
right,0.230
right,-0.068
right,-0.477
right,-0.087
right,0.365
right,0.186
right,0.105
right,0.147
right,0.147
right,-0.901
right,0.237
right,0.210
right,2.112
right,0.096
right,0.201
right,1.308
right,1.845
right,0.360
right,0.360
right,0.273
right,0.261
right,0.172
right,0.982
right,0.055
right,0.055
right,0.429
right,0.429
right,0.146
right,0.523
right,-1.258
right,0.184
right,0.117
right,0.118
right,-1.382
right,0.118
right,0.117
right,0.118
right,0.118
right,-0.107
right,-0.087
right,-0.648
right,-0.537
right,0.015
right,0.059
right,0.493
right,-0.198
right,-1.520
right,-1.790
right,0.062
right,0.164
right,-0.614
right,-0.324
right,0.278
right,-0.432
right,0.711
right,0.332
right,0.523
right,-0.381
right,0.122
right,0.089
right,-0.235
right,0.164
right,0.173
right,0.019
right,0.002
right,0.072
right,0.386
right,0.608
right,0.049
right,-0.831
right,0.240
right,-1.834
right,-0.053
right,0.668
right,0.732
right,1.447
right,0.249
right,0.212
right,0.212
right,-1.129
right,-1.648
right,-0.164
right,1.466
right,0.238
right,-0.207
right,1.002
right,-0.035
right,0.334
right,-1.045
right,0.118
right,0.243
right,-0.833
right,-0.459
right,-0.451
right,0.465
right,0.320
right,0.877
right,-1.115
right,-1.583
right,0.283
right,-0.263
right,-1.051
right,1.234
right,-0.992
right,1.209
right,2.982
right,1.646
right,0.531
right,-0.930
right,0.511
right,1.557
right,-0.402
right,-1.227
right,-1.334
right,0.089
right,0.278
right,0.312
right,0.347
right,0.275
right,-0.768
right,1.919
right,0.481
right,0.292
right,0.199
right,0.225
right,0.372
right,0.139
right,1.011
right,-0.592
right,0.481
right,0.661
right,0.318
right,0.252
right,0.214
right,0.240
right,0.299
right,-0.219
right,1.074
right,1.020
right,-0.604
right,0.429
right,0.481
right,0.954
right,0.838
right,-0.195
right,0.411
right,-1.183
right,0.407
right,-0.308
right,-1.230
right,0.188
right,0.188
right,0.188
right,0.476
right,0.968
right,0.843
right,-0.307
right,0.347
right,-0.088
right,-0.428
right,0.488
right,0.061
right,-0.391
right,0.898
right,0.140
right,-0.209
right,-0.237
right,-0.880
right,0.358
right,-0.267
right,-0.041
right,0.365
right,-0.279
right,0.324
right,-0.754
right,0.240
right,0.212
right,-0.020
right,-1.247
right,2.523
right,-1.484
right,-0.046
right,0.770
right,0.599
right,0.651
right,0.229
right,-0.122
right,0.819
right,0.360
right,2.773
right,-1.166
right,-0.561
right,0.975
right,1.202
right,-0.233
right,2.098
right,0.329
right,-0.012
right,-0.792
right,0.199
right,0.262
right,-0.003
right,1.087
right,1.526
right,0.335
right,0.589
right,0.123
right,0.263
right,0.400
right,0.240
right,0.300
right,-0.777
right,0.106
right,-0.298
right,0.499
right,2.668
right,0.435
right,-0.490
right,0.058
right,-1.003
right,-0.858
right,-0.514
right,-0.705
right,0.233
right,-0.568
right,0.003
right,0.238
right,-0.231
right,2.576
right,0.147
right,0.538
right,0.195
right,0.195
right,-1.406
right,1.340
right,-0.027
right,0.164
right,0.372
right,-0.420
right,-1.243
right,0.292
right,1.252
right,-0.846
right,0.665
right,-0.165
right,0.780
right,0.298
right,-0.812
right,-0.408
right,-2.335
right,-0.000
right,0.033
right,0.073
right,-0.086
right,0.089
right,3.356
right,-1.812
right,-2.088
right,-0.819
right,0.390
right,0.178
right,0.131
right,0.211
right,0.221
right,0.089
right,0.192
right,-0.374
right,0.125
right,0.707
right,0.358
right,-0.963
right,0.169
right,0.084
right,1.722
right,0.214
right,-0.565
right,-0.661
right,0.251
right,0.043
right,-0.238
right,0.204
right,-0.046
right,-1.639
right,-0.196
right,-0.211
right,0.885
right,0.565
right,0.265
right,-0.690
right,0.445
right,0.043
right,-0.277
right,1.132
right,-0.805
right,1.423
right,-0.588
right,-0.501
right,0.025
right,0.214
right,0.312
right,0.133
right,-0.001
right,1.022
right,-0.552
right,-1.696
right,2.997
right,0.437
right,-0.238
right,-0.055
right,1.185
right,-0.966
right,4.176
right,2.134
right,-0.202
right,-1.960
right,-0.914
right,1.149
right,1.346
right,-0.582
right,-0.223
right,0.524
right,0.365
right,-0.802
right,0.406
right,-0.230
right,0.361
right,-0.119
right,-0.507
right,0.041
right,-1.721
right,0.252
right,0.252
right,0.256
right,-1.021
right,-0.405
right,0.338
right,0.297
right,0.200
right,0.198
right,-1.131
right,-0.716
right,0.171
right,0.861
right,0.702
right,0.575
right,-0.454
right,0.082
right,-0.476
right,0.715
right,-0.153
right,1.031
right,0.039
right,-1.008
right,0.259
right,0.069
right,0.442
right,-0.079
right,0.575
right,0.451
right,0.232
right,-3.531
right,0.426
right,-2.282
right,0.168
right,0.047
right,-2.182
right,-0.637
right,0.305
right,0.332
right,0.701
right,0.643
right,-0.481
right,0.153
right,0.126
right,0.213
right,-1.296
right,0.909
right,0.190
right,-0.489
right,-1.314
right,-2.498
right,2.683
right,-0.786
right,-2.149
right,0.030
right,0.117
right,0.231
right,-0.406
right,-1.744
right,0.171
right,0.171
right,-1.450
right,2.144
right,0.870
right,-0.074
right,-0.440
right,0.522
right,0.203
right,0.250
right,-0.881
right,-0.584
left,-0.882
left,0.104
left,-0.742
left,-1.385
left,-1.183
left,0.153
left,0.136
left,-2.781
left,-0.515
left,0.354
left,-0.294
left,-0.685
left,-0.379
left,-0.015
left,0.504
left,0.507
left,1.336
left,-0.341
left,0.237
left,-0.269
left,-0.986
left,-0.508
left,-0.991
left,-1.064
left,-0.897
left,0.669
left,2.379
left,0.248
left,-0.858
left,0.252
left,0.152
left,-0.967
left,-0.023
left,-2.088
left,0.347
left,0.252
left,0.212
left,0.240
left,0.186
left,-0.796
left,-1.940
left,0.992
left,-0.318
left,-0.711
left,-0.773
left,-0.373
left,0.126
left,-0.032
left,0.546
left,1.150
left,0.740
left,-0.030
left,-1.976
left,0.670
left,0.115
left,0.711
left,-1.072
left,-0.034
left,1.066
left,0.086
left,0.320
left,-0.932
left,0.329
left,0.276
left,0.303
left,1.141
left,0.516
left,0.345
left,-0.919
left,-0.679
left,0.021
left,-0.945
left,-0.148
left,0.636
left,0.112
left,-0.404
left,0.435
left,0.047
left,-0.866
left,-0.378
left,0.295
left,-0.112
left,0.427
left,0.503
left,-0.461
left,-0.784
left,0.187
left,-1.614
left,-0.279
left,-2.558
left,-1.536
left,0.599
left,0.000
left,0.117
left,-2.045
left,0.480
left,0.245
left,-0.096
left,-0.258
left,0.773
left,0.114
left,1.621
left,0.376
left,0.390
left,-0.730
left,0.101
left,-0.080
left,-0.208
left,-0.455
left,0.561
left,0.639
left,0.498
left,-0.509
left,0.978
left,0.241
left,-0.255
left,0.049
left,-0.081
left,0.027
left,-1.413
left,0.368
left,-0.171
left,0.480
left,-1.385
left,-0.089
left,0.571
left,0.295
left,-1.683
left,0.297
left,-0.035
left,-0.030
left,0.314
left,-0.809
left,0.841
left,1.066
left,1.248
left,0.180
left,-1.016
left,0.129
left,0.139
left,0.634
left,0.468
left,0.623
left,-0.065
left,1.055
left,-2.966
left,0.342
left,-0.141
left,0.481
left,-0.022
left,3.665
left,0.237
left,0.452
left,-1.591
left,4.847
left,5.186
left,0.151
left,0.212
left,0.196
left,-0.428
left,7.568
left,-1.041
left,-2.873
left,0.281
left,0.788
left,0.436
left,0.442
left,-0.142
left,1.821
left,9.325
left,-1.063
left,-0.350
left,-1.161
left,0.059
left,-0.134
left,-0.075
left,1.023
left,0.152
left,-0.246
left,-1.011
left,-0.813
left,0.064
left,0.237
left,0.363
left,0.303
left,-0.719
left,0.363
left,0.345
left,0.298
left,-1.205
left,0.029
left,-0.934
left,-0.819
left,-0.083
left,-0.122
left,0.112
left,-0.210
left,-0.203
left,-0.854
left,-0.662
left,-0.201
left,0.194
left,-0.093
left,0.263
left,-0.070
left,-0.523
left,0.335
left,-0.585
left,8.500
left,-0.182
left,0.308
left,1.193
left,0.491
left,0.069
left,0.456
left,0.055
left,-0.158
left,-0.291
left,1.822
left,-0.193
left,-0.680
left,0.308
left,1.372
left,0.240
left,0.703
left,0.332
left,0.328
left,2.594
left,0.433
left,0.752
left,-1.015
left,1.284
left,-0.458
left,1.077
left,0.325
left,-0.591
left,0.009
left,-0.059
left,0.924
left,-0.524
left,1.345
left,0.347
left,-2.810
left,0.109
left,0.027
left,0.365
left,0.308
left,0.382
left,-0.299
left,-2.331
left,-1.974
left,-0.023
left,0.292
left,1.368
left,0.153
left,0.055
left,0.055
left,0.055
left,-0.068
left,0.683
left,-0.113
left,1.178
left,-0.583
left,-0.548
left,0.550
left,1.027
left,0.146
left,0.008
left,-0.557
left,0.098
left,1.116
left,0.137
left,-0.104
left,0.771
left,0.201
