,0,
0,0.271575024,-50
1,0.277969049,-49
2,0.24764746,-48
3,0.192114991,-47
4,0.125918477,-46
5,0.090726976,-45
6,0.082024477,-44
7,0.081698597,-43
8,0.085757838,-42
9,0.091296984,-41
10,0.092981457,-40
11,0.089142213,-39
12,0.082436877,-38
13,0.077759893,-37
14,0.07690698,-36
15,0.079908957,-35
16,0.085242261,-34
17,0.093217558,-33
18,0.100487172,-32
19,0.099862789,-31
20,0.096691262,-30
21,0.091967978,-29
22,0.096725516,-28
23,0.110202808,-27
24,0.12473825,-26
25,0.132132732,-25
26,0.117931404,-24
27,0.098035807,-23
28,0.08038486,-22
29,0.077457332,-21
30,0.081475497,-20
31,0.087017424,-19
32,0.090547076,-18
33,0.088508643,-17
34,0.085786955,-16
35,0.082811812,-15
36,0.084706872,-14
37,0.093154139,-13
38,0.103476379,-12
39,0.107465493,-11
40,0.09648446,-10
41,0.08068345,-9
42,0.067977732,-8
43,0.065533629,-7
44,0.067601645,-6
45,0.073472403,-5
46,0.075430912,-4
47,0.072053977,-3
48,0.065330418,-2
49,0.061058337,-1
50,0.061297979,0
51,0.065165249,1
52,0.067826722,2
53,0.064981124,3
54,0.056825511,4
55,0.04791537,5
56,0.043358449,6
57,0.042783308,7
58,0.045594517,8
59,0.048076914,9
60,0.04834718,10
61,0.045009357,11
62,0.040978804,12
63,0.038449375,13
64,0.038549196,14
65,0.039529082,15
66,0.040362897,16
67,0.039172461,17
68,0.036333031,18
69,0.033752443,19
70,0.032414552,20
71,0.033328403,21
72,0.035958876,22
73,0.039613366,23
74,0.042256998,24
75,0.041675579,25
76,0.038705311,26
77,0.036118457,27
78,0.035585275,28
79,0.037149641,29
80,0.039647143,30
81,0.041684141,31
82,0.040785369,32
83,0.038488272,33
84,0.036502247,34
85,0.036781022,35
86,0.039244816,36
87,0.041914054,37
88,0.044585537,38
89,0.044117945,39
90,0.041391719,40
91,0.037981319,41
92,0.036265295,42
93,0.036744449,43
94,0.039253797,44
95,0.04315157,45
96,0.046434663,46
97,0.046718815,47
98,0.030511038,48
99,0.014490967,49
