,0,
0,0.14255498,-50
1,0.117821631,-49
2,0.102089927,-48
3,0.089151836,-47
4,0.079601188,-46
5,0.072891628,-45
6,0.054941055,-44
7,0.045523046,-43
8,0.039545837,-42
9,0.036210211,-41
10,0.034538596,-40
11,0.033872689,-39
12,0.033701375,-38
13,0.033611881,-37
14,0.0347322,-36
15,0.036907303,-35
16,0.040207726,-34
17,0.043303277,-33
18,0.046873935,-32
19,0.050690837,-31
20,0.053307428,-30
21,0.054015448,-29
22,0.053929307,-28
23,0.053651075,-27
24,0.052872102,-26
25,0.052045999,-25
26,0.051987644,-24
27,0.051869637,-23
28,0.051652483,-22
29,0.052827714,-21
30,0.05489864,-20
31,0.058686984,-19
32,0.062342211,-18
33,0.066488026,-17
34,0.080856174,-16
35,0.100399721,-15
36,0.112355772,-14
37,0.159129167,-13
38,0.210814742,-12
39,0.243803356,-11
40,0.252630706,-10
41,0.247305466,-9
42,0.243476945,-8
43,0.204032678,-7
44,0.160503242,-6
45,0.137286652,-5
46,0.126677154,-4
47,0.121717369,-3
48,0.120095957,-2
49,0.117444712,-1
50,0.11351659,0
51,0.108860388,1
52,0.105253176,2
53,0.101914062,3
54,0.097974305,4
55,0.092419157,5
56,0.086039587,6
57,0.079333037,7
58,0.072911479,8
59,0.066415256,9
60,0.061465613,10
61,0.056588373,11
62,0.051977402,12
63,0.047419296,13
64,0.042409625,14
65,0.038672769,15
66,0.035755011,16
67,0.034127619,17
68,0.032444332,18
69,0.030779508,19
70,0.029172948,20
71,0.027403954,21
72,0.026153865,22
73,0.024917639,23
74,0.024207468,24
75,0.023606242,25
76,0.022967303,26
77,0.022841151,27
78,0.022394406,28
79,0.021942054,29
80,0.021840998,30
81,0.022020749,31
82,0.022453026,32
83,0.022493035,33
84,0.022726718,34
85,0.023123838,35
86,0.023474947,36
87,0.023506194,37
88,0.023835297,38
89,0.024169602,39
90,0.024088479,40
91,0.023820141,41
92,0.023439366,42
93,0.023439228,43
94,0.023214899,44
95,0.023362736,45
96,0.024122915,46
97,0.025271542,47
98,0.021430588,48
99,0.01766971,49
